brand,model,slug,c_rating,capacity_mah,cells,chemistry,connector,dimensions_mm,price_per_wh_usd,price_usd,weight_g,sources,note
RDQ,RDQ Series 850mAh 2S,rdq-rdq-series-850mah-2s,60C,850,2S,LiHV,XT30,70x18.5x15mm,2.09,13.49,37.0,https://www.racedayquads.com/products/rdq-series-7-6v-2s-850mah-60c-lihv-whoop-micro-battery-long-type-xt30,
RDQ,RDQ Series 850mAh 3S,rdq-rdq-series-850mah-3s,60C,850,3S,LiHV,XT30,,2.06,19.99,54.5,https://www.racedayquads.com/products/rdq-series-11-4v-3s-850mah-60c-lihv-whoop-micro-battery-long-type-xt30,
RDQ,RDQ Series 850mAh 4S,rdq-rdq-series-850mah-4s,60C,850,4S,LiHV,XT30,73x30x19mm,1.82,23.49,70.5,https://www.racedayquads.com/products/rdq-series-15-2v-4s-850mah-60c-lihv-whoop-micro-battery-long-type-xt30,
RDQ,RDQ Series - Anti Spark 6000mAh 6S,rdq-rdq-series-anti-spark-6000mah-6s,100C,6000,6S,LiPo,XT90,,1.01,134.99,842.0,https://www.racedayquads.com/products/rdq-series-22-2v-6s-6000mah-100c-lipo-battery-xt90-anti-spark,
RDQ,RDQ Series FPV Wing or Drone 2200mAh 3S,rdq-rdq-series-fpv-wing-or-drone-2200mah-3s,80C,2200,3S,LiPo,XT60,,1.47,35.99,195.65,https://www.racedayquads.com/products/rdq-series-2200mah-3s-75c-fpv-drone-battery-xt60,
RDQ,RDQ Series - or 850mAh 4S,rdq-rdq-series-or-850mah-4s,75C,850,4S,LiPo,XT60,25x31x59mm,2.11,26.49,30.0,https://www.racedayquads.com/products/rdq-series-850mah-4s-75c-fpv-drone-battery-xt30-or-xt60,
RDQ,RDQ Series / - Plastic Head 550mAh 1S,rdq-rdq-series-plastic-head-550mah-1s,100C,550,1S,LiHV,GNB27,65x18.2x6.2mm,3.34,6.99,13.0,https://www.racedayquads.com/products/rdq-series-3-8v-1s-550mah-100c-lihv-whoop-micro-battery-gnb27-plastic-head,
RDQ,RDQ Series (Square Type) 650mAh 3S,rdq-rdq-series-square-type-650mah-3s,80C,650,3S,LiPo,XT30,20x28x64mm,2.15,15.49,62.0,https://www.racedayquads.com/products/rdq-series-11-1v-3s-650mah-80c-lipo-micro-battery-square-type-xt30,
Tattu,1300mAh 3S,tattu-1300mah-3s,75C,1300,3S,LiPo,XT60,,1.87,26.99,122.0,https://www.racedayquads.com/products/tattu-11-1v-3s-1300mah-75c-lipo-micro-battery-xt60,
Tattu,450mAh 2S,tattu-450mah-2s,95C,450,2S,LiHV,XT30,62.5x16.2x14.7mm,3.65,12.49,29.0,https://www.racedayquads.com/products/tattu-7-6v-2s-450mah-95c-lihv-micro-battery-long-type-xt30,
Tattu,450mAh 3S,tattu-450mah-3s,75C,450,3S,LiPo,XT30,,3.6,17.99,45.0,https://www.racedayquads.com/products/tattu-450mah-3s-75c-lipo-battery-xt30-long-type,
Tattu,450mAh 4S,tattu-450mah-4s,75C,450,4S,LiPo,XT30,,3.08,20.49,58.0,https://www.racedayquads.com/products/tattu-450mah-4s-75c-lipo-battery-pack-with-xt30-plug,
Tattu,550mAh 6S,tattu-550mah-6s,95C,550,6S,LiPo,XT30,,2.58,31.49,86.0,https://www.racedayquads.com/products/tattu-550mah-22-2v-95c-6s1p-lipo-xt30,
Tattu,650mAh 4S,tattu-650mah-4s,95C,650,4S,LiPo,XT30,,2.39,22.99,82.0,https://www.racedayquads.com/products/tattu-14-8v-4s1-650mah-95c-lipo-micro-battery-xt30,
Tattu,850mAh 3S,tattu-850mah-3s,75C,850,3S,LiPo,XT30,60x30x23mm,2.17,20.49,80.0,https://www.racedayquads.com/products/tattu-11-1v-3s-850mah-75c-lipo-micro-battery-xt30,
Tattu,850mAh 4S,tattu-850mah-4s,75C,850,4S,LiPo,XT30,,1.55,19.49,103.0,https://www.racedayquads.com/products/tattu-850mah-4s-75c-battery-for-3-and-4-quads-xt30,
Tattu,FunFly 1300mAh 4S,tattu-funfly-1300mah-4s,100C,1300,4S,LiPo,XT60,72x35x28.5mm,1.4,26.99,149.0,https://www.racedayquads.com/products/tattu-funfly-14-8v-4s-1300mah-100c-lipo-battery-xt60,
Tattu,FunFly 1300mAh 6S,tattu-funfly-1300mah-6s,100C,1300,6S,LiPo,XT60,,1.37,39.49,225.0,https://www.racedayquads.com/products/tattu-funfly-22-2v-6s-1300mah-100c-lipo-battery-xt60,
Tattu,FunFly 1550mAh 4S,tattu-funfly-1550mah-4s,100C,1550,4S,LiPo,XT60,,1.24,28.49,178.0,https://www.racedayquads.com/products/tattu-fun-fly-1550mah-4s-100c-lipo-practice-budget-battery,
Tattu,G-Tech 9000mAh 6S,tattu-g-tech-9000mah-6s,25C,9000,6S,LiPo,XT60,,1.25,249.49,1175.0,https://www.racedayquads.com/products/tattu-g-tech-9000mah-6s-25c-lipo-battery-xt60,
Tattu,G-Tech - -S 16000mAh 6S,tattu-g-tech-s-16000mah-6s,30C,16000,6S,LiPo,XT90,,1.18,419.49,1990.0,https://www.racedayquads.com/products/tattu-g-tech-16000mah-6s-30c-lipo-battery-xt90-s,
Tattu,JST 300mAh 2S,tattu-jst-300mah-2s,75C,300,2S,LiPo,JST,,5.63,12.49,16.0,https://www.racedayquads.com/products/tattu-300mah-7-6v-75c-2s1p-lipo-jst,
Tattu,JST-SYP 450mAh 2S,tattu-jst-syp-450mah-2s,75C,450,2S,LiPo,JST-SYP,,3.3,10.99,29.0,https://www.racedayquads.com/products/tattu-7-4v-2s-450mah-75c-lipo-micro-battery-jst-syp,
Tattu,R-Line 500mAh 1S,tattu-r-line-500mah-1s,95C,500,1S,LiPo,PH2.0,,5.13,9.49,14.0,https://www.racedayquads.com/products/tattu-r-line-1s-3-7v-500mah-95c-lipo-whoop-micro-battery-ph2-0,
Tattu,R-Line 550mAh 2S,tattu-r-line-550mah-2s,95C,550,2S,LiPo,XT30,63x16x12mm,3.31,13.49,100.0,https://www.racedayquads.com/products/tattu-r-line-7-4v-2s-550mah-95c-lipo-micro-battery-xt30,
Tattu,R-Line 550mAh 3S,tattu-r-line-550mah-3s,95C,550,3S,LiPo,XT30,,3.11,18.99,46.0,https://www.racedayquads.com/products/tattu-r-line-11-1v-3s-550mah-95c-lipo-micro-battery-xt30,
Tattu,R-Line 850mAh 4S,tattu-r-line-850mah-4s,95C,850,4S,LiPo,XT30,,2.26,28.49,104.0,https://www.racedayquads.com/products/tattu-r-line-850mah-14-8v-95c-4s1p-lipo-battery-pack-with-xt30-plug,
Tattu,R-Line V6.0 1600mAh 6S,tattu-r-line-v6-0-1600mah-6s,160C,1600,6S,LiPo,XT60,,1.32,46.99,240.0,https://www.racedayquads.com/products/tattu-r-line-v6-0-1600mah-6s-160c-22-2v-lipo-battery,
Tattu,R-Line Version 1.0 650mAh 6S,tattu-r-line-version-1-0-650mah-6s,95C,650,6S,LiPo,XT30,,1.64,23.69,115.0,https://www.racedayquads.com/products/tattu-r-line-version-1-0-22-2v-6s-650mah-lipo-micro-battery-xt30,
Tattu,R-Line Version 3.0 1400mAh 6S,tattu-r-line-version-3-0-1400mah-6s,120C,1400,6S,LiPo,XT60,,1.79,55.49,233.0,https://www.racedayquads.com/products/tattu-r-line-version-3-0-22-2v-6s-1400mah-lipo-battery-xt60,
Tattu,R-Line Version 3.0 1550mAh 4S,tattu-r-line-version-3-0-1550mah-4s,120C,1550,4S,LiPo,XT60,,2.0,45.99,181.0,https://www.racedayquads.com/products/tattu-r-line-version-3-0-1550mah-14-8v-120c-4s1p-lipo-battery-pack-with-xt60-plug,
Tattu,R-Line Version 4.0 1050mAh 6S,tattu-r-line-version-4-0-1050mah-6s,130C,1050,6S,LiPo,XT60,,1.97,45.99,180.0,https://www.racedayquads.com/products/tattu-r-line-version-4-0-22-2v-6s-1050mah-130c-lipo-battery-xt60,
Tattu,R-Line Version 4.0 1300mAh 6S,tattu-r-line-version-4-0-1300mah-6s,130C,1300,6S,LiPo,XT60,,1.87,53.99,200.0,https://www.racedayquads.com/products/tattu-r-line-version-4-0-22-2v-6s-1300mah-130c-lipo-battery-xt60,
Tattu,R-Line Version 4.0 1400mAh 6S,tattu-r-line-version-4-0-1400mah-6s,130C,1400,6S,LiPo,XT60,,1.83,56.99,222.0,https://www.racedayquads.com/products/tattu-r-line-version-4-0-22-2v-6s-1400mah-130c-lipo-battery-xt60,
Tattu,R-Line Version 5.0 1050mAh 6S,tattu-r-line-version-5-0-1050mah-6s,150C,1050,6S,LiPo,XT60,,2.04,47.49,186.0,https://www.racedayquads.com/products/tattu-r-line-version-5-0-1050mah-6s-22-2v-150c-lipo-battery-xt60,
Tattu,R-Line Version 5.0 1050mAh 8S,tattu-r-line-version-5-0-1050mah-8s,150C,1050,8S,LiPo,XT60,,1.91,59.49,242.0,https://www.racedayquads.com/products/tattu-r-line-version-5-0-1050mah-8s-150c-29-6v-lipo-battery-xt60,
Tattu,R-Line Version 5.0 1200mAh 6S,tattu-r-line-version-5-0-1200mah-6s,150C,1200,6S,LiPo,XT60,78x40x32mm,1.69,44.99,197.0,https://www.racedayquads.com/products/tattu-r-line-version-5-0-22-2v-6s-1200mah-150c-lipo-battery-xt60,
Tattu,R-Line Version 5.0 1300mAh 4S,tattu-r-line-version-5-0-1300mah-4s,150C,1300,4S,LiPo,XT60,,2.23,42.99,156.0,https://www.racedayquads.com/products/tattu-r-line-version-5-0-1300mah-4s-14-8v-150c-lipo-battery-xt60,
Tattu,R-Line Version 5.0 1400mAh 6S,tattu-r-line-version-5-0-1400mah-6s,150C,1400,6S,LiPo,XT60,78x39x42mm,1.79,55.49,222.0,https://www.racedayquads.com/products/copy-of-tattu-r-line-version-4-0-22-2v-6s-1400mah-130c-lipo-battery-xt60,
Tattu,R-Line Version 5.0 1550mAh 6S,tattu-r-line-version-5-0-1550mah-6s,150C,1550,6S,LiPo,XT60,,1.79,61.49,254.0,https://www.racedayquads.com/products/tattu-r-line-version-5-0-1550mah-6s-150c-22-2v-lipo-battery-xt60,
Tattu,R-Line Version 5.0 1800mAh 6S,tattu-r-line-version-5-0-1800mah-6s,150C,1800,6S,LiPo,XT60,,1.73,68.99,287.0,https://www.racedayquads.com/products/tattu-r-line-version-5-0-1800mah-6s-150c-22-2v-lipo-battery-xt60,
Tattu,R-Line Version 5.0 850mAh 3S,tattu-r-line-version-5-0-850mah-3s,150C,850,3S,LiPo,XT30,,2.6,24.49,76.0,https://www.racedayquads.com/products/tattu-r-line-version-5-0-850mah-3s-11-1v-150c-lipo-battery-xt30,
Tattu,R-Line Version 5.0 850mAh 4S,tattu-r-line-version-5-0-850mah-4s,150C,850,4S,LiPo,XT30,,2.5,31.49,100.0,https://www.racedayquads.com/products/tattu-r-line-version-5-0-850mah-4s-150c-14-8v-lipo-battery-xt30,
Tattu,R-Line Version 5.0 850mAh 6S,tattu-r-line-version-5-0-850mah-6s,150C,850,6S,LiPo,XT30,,2.23,41.99,145.0,https://www.racedayquads.com/products/tattu-r-line-version-5-0-850mah-6s-22-2v-150c-lipo-battery-xt30,
Tattu,R-Line Version 6.0 SQ 1480mAh 6S,tattu-r-line-version-6-0-sq-1480mah-6s,160C,1480,6S,LiPo,XT60,,1.29,42.49,220.0,https://www.racedayquads.com/products/tattu-r-line-version-6-0-sq-1480mah-160c-6s-22-2v-lipo-battery-xt60,
WREKD Co.,Quad Gas 1380mAh 6S,wrekd-co-quad-gas-1380mah-6s,150C,1380,6S,LiPo,XT60,,1.34,40.99,223.0,https://www.racedayquads.com/products/quad-gas-6s-1380mah-150c-lipo-battery-1pc,
WREKD Co.,Quad Gas - Choose Red or 1380mAh 6S,wrekd-co-quad-gas-choose-red-or-1380mah-6s,150C,1380,6S,LiPo,XT60,,4.01,122.97,223.0,https://www.racedayquads.com/products/quad-gas-6s-1380mah-150c-lipo-battery-3-pack-choose-red-or-black,
XILO,1300mAh 5S,xilo-1300mah-5s,100C,1300,5S,LiPo,XT60,,1.52,36.49,198.0,https://www.racedayquads.com/products/xilo-1300mah-5s-100c-lipo-battery,
XILO,1500mAh 5S,xilo-1500mah-5s,100C,1500,5S,LiPo,XT60,,1.42,39.49,228.0,https://www.racedayquads.com/products/xilo-1500mah-5s-100c-lipo-battery,
XILO,Basher 1250mAh 6S,xilo-basher-1250mah-6s,100C,1250,6S,LiPo,XT60,,1.71,47.49,215.0,https://www.racedayquads.com/products/xilo-1250mah-6s-100c-basher-lipo-battery-xt60,
XILO,Basher 1300mAh 4S,xilo-basher-1300mah-4s,100C,1300,4S,LiPo,XT60,,1.64,31.49,165.0,https://www.racedayquads.com/products/xilo-1300mah-4s-100c-basher-lipo-battery-xt60,
XILO,Basher 1500mAh 4S,xilo-basher-1500mah-4s,100C,1500,4S,LiPo,XT60,,1.64,36.49,185.0,https://www.racedayquads.com/products/xilo-1500mah-4s-100c-basher-lipo-battery-xt60,
XILO,Basher 850mAh 4S,xilo-basher-850mah-4s,100C,850,4S,LiPo,XT60,,2.26,28.49,110.0,https://www.racedayquads.com/products/xilo-850mah-4s-100c-basher-lipo-battery-xt60,
XILO,Essential 450mAh 3S,xilo-essential-450mah-3s,100C,450,3S,LiPo,XT30,,2.8,13.99,45.0,https://www.racedayquads.com/products/xilo-450mah-3s-100c-essential-micro-lipo-battery-xt30,
XILO,Essential 550mAh 3S,xilo-essential-550mah-3s,100C,550,3S,LiPo,XT30,,3.36,20.49,54.36,https://www.racedayquads.com/products/xilo-550mah-3s-100c-essential-micro-lipo-battery-xt30,
XILO,Essential 550mAh 6S,xilo-essential-550mah-6s,100C,550,6S,LiPo,XT30,,2.91,35.49,100.8,https://www.racedayquads.com/products/xilo-550mah-6s-100c-essential-micro-lipo-battery-xt30,
XILO,Essential 650mAh 4S,xilo-essential-650mah-4s,100C,650,4S,LiPo,XT30,,3.27,31.49,80.0,https://www.racedayquads.com/products/xilo-650mah-4s-100c-essential-micro-lipo-battery-xt30,
XILO,Essential JST 450mAh 1S,xilo-essential-jst-450mah-1s,100C,450,1S,LiPo,JST,,5.7,9.49,13.79,https://www.racedayquads.com/products/xilo-450mah-1s-100c-essential-micro-lipo-battery-jst,
