brand,model,slug,c_rating,capacity_mah,cells,chemistry,connector,dimensions_mm,price_per_wh_usd,price_usd,weight_g,sources,note
LUMENIER,N2O Feather-Lite - XT-60 1400mAh 6S,lumenier-n2o-feather-lite-xt-60-1400mah-6s,150C,1400,6S,LiPo,XT60,,2.61,80.99,212.0,https://www.racedayquads.com/products/lumenier-n2o-feather-lite-1400mah-6s-150c-lipo-battery-xt-60,
LUMENIER,N2O Feather-Lite (XT-60) 1550mAh 4S,lumenier-n2o-feather-lite-xt-60-1550mah-4s,150C,1550,4S,LiPo,XT60,,2.94,67.49,278.0,https://www.racedayquads.com/products/lumenier-n2o-feather-lite-1550mah-4s-150c-lipo-battery-xt-60,
LUMENIER,N2O Feather-Lite (XT-60) 1550mAh 6S,lumenier-n2o-feather-lite-xt-60-1550mah-6s,150C,1550,6S,LiPo,XT60,,2.63,90.49,265.0,https://www.racedayquads.com/products/lumenier-n2o-feather-lite-1550mah-6s-150c-lipo-battery-xt-60,
LUMENIER,N2O Feather-Lite (XT-60) 1600mAh 6S,lumenier-n2o-feather-lite-xt-60-1600mah-6s,130C,1600,6S,LiPo,XT60,,2.52,89.49,260.0,https://www.racedayquads.com/products/lumenier-n2o-feather-lite-1600mah-6s-130c-lipo-battery-xt-60,
LUMENIER,N2O (XT-30) 850mAh 6S,lumenier-n2o-xt-30-850mah-6s,120C,850,6S,LiPo,XT60,,3.23,60.99,159.0,https://www.racedayquads.com/products/lumenier-n2o-850mah-6s-120c-lipo-battery-xt-30,
LUMENIER,N2O (XT-60) 1500mAh 4S,lumenier-n2o-xt-60-1500mah-4s,120C,1500,4S,LiPo,XT60,,2.81,62.49,185.0,https://www.racedayquads.com/products/lumenier-n2o-1500mah-4s-120c-lipo-battery-xt-60,
LUMENIER,N2O (XT-60) 850mAh 6S,lumenier-n2o-xt-60-850mah-6s,120C,850,6S,LiPo,XT60,,3.31,62.49,165.0,https://www.racedayquads.com/products/lumenier-n2o-850mah-6s-120c-lipo-battery-xt-60,
LUMENIER,NAV 18650 6000mAh 6S,lumenier-nav-18650-6000mah-6s,10C,6000,6S,Li-ion,XT60,,1.46,188.99,635.0,https://www.racedayquads.com/products/lumenier-nav-22-2v-6s-18650-6000mah-10c-li-ion-battery-xt60,
LUMENIER,NAV Lithium-Ion 3000mAh 4S,lumenier-nav-lithium-ion-3000mah-4s,10C,3000,4S,LiPo,XT60,,1.52,67.49,205.0,https://www.racedayquads.com/products/lumenier-nav-3000mah-4s-lithium-ion-battery-xt60,
LUMENIER,NAV Lithium-Ion 3000mAh 6S,lumenier-nav-lithium-ion-3000mah-6s,10C,3000,6S,LiPo,XT60,,1.42,94.49,310.0,https://www.racedayquads.com/products/lumenier-nav-3000mah-6s-lithium-ion-battery-xt60,
LUMENIER,Silicon Graphene 1300mAh 6S,lumenier-silicon-graphene-1300mah-6s,95C,1300,6S,LiPo,XT60,,2.06,59.49,240.0,https://www.racedayquads.com/products/lumenier-silicon-graphene-1300mah-6s-95c-lipo-battery,
LUMENIER,Silicon Graphene 1500mAh 6S,lumenier-silicon-graphene-1500mah-6s,95C,1500,6S,LiPo,XT60,,2.12,70.49,278.0,https://www.racedayquads.com/products/lumenier-silicon-graphene-1500mah-6s-95c-lipo-battery,
LUMENIER,(XT-30) 300mAh 2S,lumenier-xt-30-300mah-2s,75C,300,2S,LiPo,XT30,,6.08,13.49,18.0,https://www.racedayquads.com/products/lumenier-300mah-2s-75c-lipo-battery-xt-30,
LUMENIER,(XT-30) 300mAh 3S,lumenier-xt-30-300mah-3s,75C,300,3S,LiPo,XT30,,4.95,16.49,26.0,https://www.racedayquads.com/products/lumenier-300mah-3s-75c-lipo-battery-xt-30,
LUMENIER,(XT-30) 300mAh 4S,lumenier-xt-30-300mah-4s,75C,300,4S,LiPo,XT30,,5.18,22.99,34.0,https://www.racedayquads.com/products/lumenier-300mah-4s-75c-lipo-battery-xt-30,
LUMENIER,(XT-30) 550mAh 2S,lumenier-xt-30-550mah-2s,80C,550,2S,LiPo,XT30,,3.68,14.99,28.0,https://www.racedayquads.com/products/lumenier-550mah-2s-80c-lipo-battery-xt-30,
LUMENIER,(XT-30) 550mAh 3S,lumenier-xt-30-550mah-3s,80C,550,3S,LiPo,XT30,,3.11,18.99,44.0,https://www.racedayquads.com/products/lumenier-550mah-3s-80c-lipo-battery-xt-30,
LUMENIER,(XT-30) 550mAh 4S,lumenier-xt-30-550mah-4s,80C,550,4S,LiPo,XT30,,3.01,24.49,59.0,https://www.racedayquads.com/products/lumenier-550mah-4s-80c-lipo-battery-xt-30,
LUMENIER,(XT-30) 850mAh 2S,lumenier-xt-30-850mah-2s,35C,850,2S,LiPo,XT30,,2.62,16.49,49.0,https://www.racedayquads.com/products/lumenier-850mah-2s-35c-lipo-battery-xt-30,
LUMENIER,(XT-30) 850mAh 3S,lumenier-xt-30-850mah-3s,35C,850,3S,LiPo,XT30,,2.17,20.49,71.0,https://www.racedayquads.com/products/lumenier-850mah-3s-35c-lipo-battery-xt-30,
LUMENIER,(XT-30) 850mAh 4S,lumenier-xt-30-850mah-4s,75C,850,4S,LiPo,XT60,,2.5,31.49,101.0,https://www.racedayquads.com/products/lumenier-850mah-4s-75c-lipo-battery-xt-30,
NewBeeDrone,Nitro Nectar HV - NX69 550mAh 1S,newbeedrone-nitro-nectar-hv-nx69-550mah-1s,80C,550,1S,LiHV,BT2.0,,5.5,11.49,14.3,https://www.racedayquads.com/products/newbeedrone-nitro-nectar-550mah-1s-80c-hv-lipo-battery-2pcs-nx69,
RaceDayQuads,CNHL Black Series 1500mAh 6S,racedayquads-cnhl-black-series-1500mah-6s,100C,1500,6S,LiPo,XT60,53x33x75mm,3.24,107.99,254.0,https://www.racedayquads.com/products/3-pack-of-cnhl-black-series-22-2v-6s-1500mah-100c-lipo-battery-xt60-1,
RDQ,RDQ Series 1000mAh 6S,rdq-rdq-series-1000mah-6s,100C,1000,6S,LiHV,XT60,78x38x24mm,1.69,38.49,185.0,https://www.racedayquads.com/products/rdq-series-22-2v-6s-1000mah-100c-lipo-battery-xt60,
RDQ,RDQ Series 1100mAh 3S,rdq-rdq-series-1100mah-3s,60C,1100,3S,LiHV,XT30,,1.51,18.99,69.0,https://www.racedayquads.com/products/rdq-series-11-4v-3s-1100mah-60c-lipo-battery-xt30,
RDQ,RDQ Series 1300mAh 4S,rdq-rdq-series-1300mah-4s,120C,1300,4S,LiHV,XT60,24x38x80mm,1.77,34.99,132.0,https://www.racedayquads.com/products/rdq-series-15-2v-4s-1300mah-120c-lihv-battery-xt60,
RDQ,RDQ Series 1300mAh 6S,rdq-rdq-series-1300mah-6s,120C,1300,6S,LiHV,XT60,34x38x80mm,1.72,50.99,193.0,https://www.racedayquads.com/products/rdq-series-22-8v-6s-1300mah-120c-lihv-battery-xt60,
RDQ,RDQ Series 1500mAh 4S,rdq-rdq-series-1500mah-4s,120C,1500,4S,LiHV,XT60,36x38x79mm,1.56,35.49,151.0,https://www.racedayquads.com/products/rdq-series-14-8v-4s-1500mah-100c-lipo-battery-xt60|https://www.racedayquads.com/products/rdq-series-15-2v-4s-1500mah-120c-lihv-battery-xt60,
RDQ,RDQ Series 1500mAh 6S,rdq-rdq-series-1500mah-6s,120C,1500,6S,LiHV,XT60,38x38x79mm,1.55,52.99,218.0,https://www.racedayquads.com/products/rdq-series-22-2v-6s-1500mah-120c-lipo-battery-xt60,
RDQ,RDQ Series 1800mAh 6S,rdq-rdq-series-1800mah-6s,100C,1800,6S,LiHV,XT60,90x58x34mm,1.49,60.99,310.0,https://www.racedayquads.com/products/rdq-series-22-2v-6s-1800mah-100c-lipo-battery-xt60,
RDQ,RDQ Series 2200mAh 4S,rdq-rdq-series-2200mah-4s,80C,2200,4S,LiPo,XT60,,1.54,49.99,245.0,https://www.racedayquads.com/products/rdq-series-14-8v-4s-2200mah-100c-lipo-battery-xt60,
RDQ,RDQ Series 2200mAh 5S,rdq-rdq-series-2200mah-5s,80C,2200,5S,LiPo,XT60,,1.54,62.49,318.0,https://www.racedayquads.com/products/rdq-series-2200mah-5s-80c-fpv-drone-battery-xt60,
RDQ,RDQ Series 2800mAh 3S,rdq-rdq-series-2800mah-3s,100C,2800,3S,LiPo,XT60,79x23x34mm,1.17,36.49,212.5,https://www.racedayquads.com/products/rdq-series-11-1v-3s-2800mah-100c-lipo-battery-xt60,
RDQ,RDQ Series 2800mAh 4S,rdq-rdq-series-2800mah-4s,100C,2800,4S,LiPo,XT60,107x33x46mm,1.33,54.99,270.0,https://www.racedayquads.com/products/rdq-series-11-1v-4s-2800mah-100c-lipo-battery-xt60,
RDQ,RDQ Series 2800mAh 6S,rdq-rdq-series-2800mah-6s,100C,2800,6S,LiPo,XT60,113x55x35mm,1.37,84.99,400.0,https://www.racedayquads.com/products/rdq-series-11-1v-6s-2800mah-100c-lipo-battery-xt60,
RDQ,RDQ Series 300mAh 2S,rdq-rdq-series-300mah-2s,50C,300,2S,LiHV,XT30,45x17x14mm,3.29,7.49,15.8,https://www.racedayquads.com/products/rdq-series-7-6v-2s-300mah-50c-lihv-micro-battery-for-tinyhawk-s-ph2-0,
RDQ,RDQ Series 300mAh 4S,rdq-rdq-series-300mah-4s,80C,300,4S,LiHV,XT30,22x27x60mm,3.18,14.49,35.5,https://www.racedayquads.com/products/rdq-series-15-2v-4s-300mah-80c-lihv-battery-long-type-xt30,
RDQ,RDQ Series 350mAh 2S,rdq-rdq-series-350mah-2s,70C,350,2S,LiHV,PH2.0,,3.19,8.49,16.4,https://www.racedayquads.com/products/rdq-series-7-6v-2s-350mah-70c-lihv-battery-ph2-0,
RDQ,RDQ Series 350mAh 3S,rdq-rdq-series-350mah-3s,50C,350,3S,LiHV,XT30,52x20.2x17.3mm,3.63,14.49,28.4,https://www.racedayquads.com/products/rdq-series-11-4v-3s-350mah-50c-lihv-micro-battery-xt30,
RDQ,RDQ Series 380mAh 3S,rdq-rdq-series-380mah-3s,60C,380,3S,LiHV,XT30,,3.46,14.99,26.3,https://www.racedayquads.com/products/rdq-series-11-4v-3s-380mah-60c-lihv-micro-battery-xt30,
RDQ,RDQ Series 380mAh 4S,rdq-rdq-series-380mah-4s,90C,380,4S,LiHV,XT30,17x27x54mm,2.6,14.99,39.7,https://www.racedayquads.com/products/rdq-series-15-2v-4s-380mah-90c-lihv-battery-long-type-xt30,
RDQ,RDQ Series 4500mAh 2S,rdq-rdq-series-4500mah-2s,70C,4500,2S,LiHV,XT60,13x44x137mm,1.17,39.99,180.0,https://www.racedayquads.com/products/rdq-series-7-6v-2s-4500mah-70c-lihv-battery-xt60,
RDQ,RDQ Series 450mAh 1S,rdq-rdq-series-450mah-1s,80C,450,1S,LiHV,PH2.0,62x17x6.9mm,3.5,5.99,10.0,https://www.racedayquads.com/products/rdq-450mah-1s-70c-lipo-battery,
RDQ,RDQ Series 450mAh 2S,rdq-rdq-series-450mah-2s,70C,450,2S,LiPo,XT30,"60.7x13.5x16.5

mm",3.45,11.49,28.9,https://www.racedayquads.com/products/rdq-series-450mah-2s-fpv-battery-70c-xt30-long-type,
RDQ,RDQ Series 450mAh 3S,rdq-rdq-series-450mah-3s,80C,450,3S,LiPo,XT30,,2.5,12.49,47.0,https://www.racedayquads.com/products/rdq-450mah-3s-fpv-battery-for-2-and-3-quads-80c,
RDQ,RDQ Series 450mAh 6S,rdq-rdq-series-450mah-6s,80C,450,6S,LiHV,XT30,22x44x72mm,2.39,24.49,74.0,https://www.racedayquads.com/products/rdq-series-22-8v-6s-450mah-80c-lihv-battery-long-type-xt30,
RDQ,RDQ Series 50 350mAh 2S,rdq-rdq-series-50-350mah-2s,100C,350,2S,LiHV,XT30,51.2x13.1x17.7MM,3.19,8.49,20.45,https://www.racedayquads.com/products/rdq-series-350mah-2s-50c-100c-7-6v-hv-fpv-micro-battery-xt30,
RDQ,RDQ Series 525mAh 1S,rdq-rdq-series-525mah-1s,80C,525,1S,LiHV,PH2.0,65x17x6.7mm,3.75,7.49,13.0,https://www.racedayquads.com/products/rdq-series-525mah-1s-80c-hv-ph2-0-lipo-battery-for-emax-tinyhawk,
RDQ,RDQ Series 525mAh 2S,rdq-rdq-series-525mah-2s,80C,525,2S,LiHV,XT30,"68.2

x17.2x13.9mm",2.75,10.99,29.05,https://www.racedayquads.com/products/rdq-series-525mah-2s-80c-7-6v-hv-fpv-micro-battery-xt30,
RDQ,RDQ Series 525mAh 3S,rdq-rdq-series-525mah-3s,80C,525,3S,LiHV,XT30,,2.67,15.99,42.0,https://www.racedayquads.com/products/rdq-series-525mah-3s-fpv-battery-for-2-and-3-quads-80c-xt30,
RDQ,RDQ Series 525mAh 4S,rdq-rdq-series-525mah-4s,80C,525,4S,LiHV,XT30,,2.13,16.99,54.82,https://www.racedayquads.com/products/rdq-series-525mah-4s-80c-fpv-drone-battery-xt30,
RDQ,RDQ Series 5500mAh 4S,rdq-rdq-series-5500mah-4s,70C,5500,4S,LiPo,XT60,36x44x139mm,0.86,69.99,445.0,https://www.racedayquads.com/products/rdq-series-14-8v-4s-5500mah-14-8v-70c-lipo-xt60,
RDQ,RDQ Series 550mAh 2S,rdq-rdq-series-550mah-2s,100C,550,2S,LiHV,XT30,12x18x69mm,2.75,11.49,30.0,https://www.racedayquads.com/products/rdq-series-7-6v-2s-550mah-100c-lihv-battery-xt30,
RDQ,RDQ Series 550mAh 3S,rdq-rdq-series-550mah-3s,90C,550,3S,LiPo,XT30,18x18x72mm,2.46,14.99,43.0,https://www.racedayquads.com/products/rdq-series-11-1v-3s-550mah-90c-lipo-battery-xt30,
