brand,model,slug,blades,diameter_in,mount,pitch_in,price_usd,suited_motors,weight_g,sources,note
Gemfan,15x10x3 Glass Fiber Nylon 3-Blade,gemfan-15x10x3-glass-fiber-nylon-3-blade,3,15.0,6mm,10.0,17.99,,70.0,https://www.racedayquads.com/products/gemfan-15x10x3-glass-fiber-nylon-3-blade-propeller-set-of-2,
Gemfan,16X8X3 Glass Fiber Nylon 3-Blade,gemfan-16x8x3-glass-fiber-nylon-3-blade,3,16.0,6mm,8.0,19.49,,84.9,https://www.racedayquads.com/products/gemfan-16x8x3-glass-fiber-nylon-3-blade-propeller-set-of-2,
Gemfan,2216 3-Blade - 1.5mm,gemfan-2216-3-blade-1-5mm,3,2.2,1.5mm,1.6,3.29,,0.7,https://www.racedayquads.com/products/gemfan-2216-3-blade-propeller-set-of-8-1-5mm,
Gemfan,3032 3-Blade for DJI AVATA 2,gemfan-3032-3-blade-for-dji-avata-2,3,3.0,2mm,3.2,3.49,,1.8,https://www.racedayquads.com/products/gemfan-3032-3-blade-propeller-for-dji-avata-2-set-of-4,
Gemfan,3525 Hurricane 3-Blade - 1.5mm,gemfan-3525-hurricane-3-blade-1-5mm,3,3.5,1.5mm T-mount,2.5,2.69,,1.83,https://www.racedayquads.com/products/gemfan-3525-hurricane-3-blade-propeller-set-of-4-1-5mm,
Gemfan,353D 3D 3-Blade,gemfan-353d-3d-3-blade,3,2.5,1.5mm,2.5,2.89,,2.4,https://www.racedayquads.com/products/gemfan-353d-3d-3-blade-propeller-set-of-4,
Gemfan,4022F 2-Blade - DJI Flip Drone,gemfan-4022f-2-blade-dji-flip-drone,2,2.95,2.95mm,2.2,3.99,,0.37,https://www.racedayquads.com/products/gemfan-4022f-2-blade-propellers-set-of-8-dji-flip-drone,
Gemfan,493D 3D 3-Blade,gemfan-493d-3d-3-blade,3,12.0,5mm,3.2,2.99,,4.4,https://www.racedayquads.com/products/gemfan-493d-3d-3-blade-propeller-set-of-4,
Gemfan,"7035 Reinforced Carbon Or Glass Nylon Tri-Blade 7"" Prop - Choose Version",gemfan-7035-reinforced-carbon-or-glass-nylon-tri-blade-7-prop-choose-version,3,7.0,5mm,3.5,6.99,,6.9,https://www.racedayquads.com/products/gemfan-7035-reinforced-carbon-or-glass-nylon-tri-blade-7-prop-4-pack-choose-version,
Gemfan,7140 3-Blade,gemfan-7140-3-blade,3,7.1,5mm,4.0,4.49,,9.8,https://www.racedayquads.com/products/gemfan-7140-3-blade-propeller-set-of-4-black,
Gemfan,"Cinelifter 7035 7x3.5x3 Tri-Blade 7"" Prop - Choose Your",gemfan-cinelifter-7035-7x3-5x3-tri-blade-7-prop-choose-your,3,7.0,2mm T-mount,3.5,4.99,,6.5,https://www.racedayquads.com/products/gemfan-cinelifter-7035-3-7x3-5x3-bi-blade-7-prop-4-pack-choose-your-color,
Gemfan,"Cinelifter 8040 Tri-Blade 8.1"" Prop",gemfan-cinelifter-8040-tri-blade-8-1-prop,3,8.1,5mm,4.0,10.99,,10.5,https://www.racedayquads.com/products/gemfan-cinelifter-8040-tri-blade-8-1-prop-2-pack-black,
Gemfan,D2.5 Ducted 3-Blade - 1.5mm,gemfan-d2-5-ducted-3-blade-1-5mm,3,2.5,1.5mm T-mount,2.4,3.69,,1.2,https://www.racedayquads.com/products/gemfan-d2-5-ducted-3-blade-propeller-set-of-8-1-5mm,
Gemfan,"D51-5 1.5mm T-Mount Penta-Blade 2"" Prop - Choose Your",gemfan-d51-5-1-5mm-t-mount-penta-blade-2-prop-choose-your,2,2.0,1.5mm T-mount,1.9,4.99,,0.996,https://www.racedayquads.com/products/gemfan-d51-5-1-5mm-t-mount-penta-blade-4-prop-4-pack-choose-your-color,
Gemfan,"D63 Ducted Durable Tri-Blade 2.5"" Cinewhoop Prop",gemfan-d63-ducted-durable-tri-blade-2-5-cinewhoop-prop,3,2.5,T-mount,3.0,4.99,,1.36,https://www.racedayquads.com/products/gemfan-d63-ducted-durable-tri-blade-63mm-prop-8-pack,
Gemfan,"D76 Ducted Durable 5-Blade 3"" Prop (5mm & 1.5mm Mounting) - Choose Your",gemfan-d76-ducted-durable-5-blade-3-prop-5mm-1-5mm-mounting-choose-your,5,3.0,1.5mm T-mount,3.0,3.99,,3.03,https://www.racedayquads.com/products/gemfan-d76-ducted-durable-5-blade-76mm-prop-4-pack-choose-your-color,
Gemfan,"D90S T-Mount Tri-Blade 3.5"" Prop - Choose Your",gemfan-d90s-t-mount-tri-blade-3-5-prop-choose-your,3,3.5,T-mount,3.0,2.69,,2.3,https://www.racedayquads.com/products/gemfan-d90s-t-mount-tri-blade-3-prop-4-pack-choose-your-color,
Gemfan,DYH 3026 3-Blade,gemfan-dyh-3026-3-blade,3,2.6,T-mount,2.6,2.99,,1.8,https://www.racedayquads.com/products/gemfan-dyh-3026-3-blade-propeller-set-of-4,
Gemfan,"Flash 4052 Tri-Blade 4"" Prop - Choose Your",gemfan-flash-4052-tri-blade-4-prop-choose-your,4,4.0,5mm,5.2,3.99,,3.85,https://www.racedayquads.com/products/gemfan-4052-flash-4-tri-blade-prop-choose-your-color,
Gemfan,"Flash 5149 Tri-Blade 5"" Prop - Choose Your",gemfan-flash-5149-tri-blade-5-prop-choose-your,5,5.0,5mm (standard),5.1,3.29,,4.5,https://www.racedayquads.com/products/gemfan-5149-5-tri-blade-propeller-choose-your-color,
