brand,model,slug,blades,diameter_in,mount,pitch_in,price_usd,suited_motors,weight_g,sources,note
HQProp,"HQ Prop 4x3x3 Tri-Blade 4"" Prop Pack",hqprop-hq-prop-4x3x3-tri-blade-4-prop-pack,3,4.0,5mm,3.0,2.99,,2.2,https://www.racedayquads.com/products/hqprop-4x3x3-tri-blade-durable-prop-light-purple,
HQProp,"HQ Prop 5.1x4.1x3 POPO Compatible Tri-Blade 5"" Prop - Choose Your",hqprop-hq-prop-5-1x4-1x3-popo-compatible-tri-blade-5-prop-choose-your,3,5.1,5mm (standard),4.1,4.49,,4.75,https://www.racedayquads.com/products/hq-5-1x4-1x3-5-prop-popo-compatible,
HQProp,"HQ Prop 5.2x3.2x3 Tri-Blade 5"" Prop",hqprop-hq-prop-5-2x3-2x3-tri-blade-5-prop,3,5.0,5mm,3.2,4.49,,3.5,https://www.racedayquads.com/products/hq-prop-5232-5-2x3-2x3-tri-blade-5-prop-4-pack-grey,
HQProp,"HQ Prop 5.5X2.2X3 Tri-Blade 5.5"" Prop",hqprop-hq-prop-5-5x2-2x3-tri-blade-5-5-prop,3,5.5,5mm,2.2,4.99,,4.6,https://www.racedayquads.com/products/hq-prop-5-5x2-2x3-tri-blade-5-5-prop,
HQProp,"HQ Prop 5135 V2（R35 V2）5.1x3.5x3 Tri-Blade 5"" Prop - Choose Your",hqprop-hq-prop-5135-v2-r35-v2-5-1x3-5x3-tri-blade-5-prop-choose-your,3,5.1,5mm,3.5,3.99,,4.2,https://www.racedayquads.com/products/hq-prop-5135v2-r35v2-5-1x3-5x3-tri-blade-5-prop-4-pack-choose-your-color,
HQProp,"HQ Prop 51MMX2 Ultralight Bi-Blade 2"" (51mm) Micro/Whoop Prop",hqprop-hq-prop-51mmx2-ultralight-bi-blade-2-51mm-micro-whoop-prop,2,2.0,1mm,0.9,2.99,,0.23,https://www.racedayquads.com/products/draft-hq-ultralight-prop-51mmx2-1mm-shaft-bi-blade-4-pack-grey,
HQProp,"HQ Prop 5535 5.5x3.5x3 V2 Tri-Blade 5"" Prop",hqprop-hq-prop-5535-5-5x3-5x3-v2-tri-blade-5-prop,3,5.0,5mm,3.5,4.49,,4.6,https://www.racedayquads.com/products/hq-prop-5535-5-5x3-5x3-v2-tri-blade-5-prop-4-pack-grey,
HQProp,"HQ Prop 5x4.3x3 V1S Tri-Blade 5"" Prop - Choose Your",hqprop-hq-prop-5x4-3x3-v1s-tri-blade-5-prop-choose-your,3,5.0,5mm,4.3,3.69,,3.75,https://www.racedayquads.com/products/hq-v1s-5x4-3x3-5-prop-choose-your-color,
HQProp,"HQ Prop 5x4.5x3 V1S Tri-Blade 5"" Prop - Choose Your",hqprop-hq-prop-5x4-5x3-v1s-tri-blade-5-prop-choose-your,3,5.0,5mm,4.5,1.35,,4.19,https://www.racedayquads.com/products/hq-v1s-5x4-5x3-5-prop-choose-your-color,
HQProp,"HQ Prop 5x4x6 Hex-Blade 5"" Prop",hqprop-hq-prop-5x4x6-hex-blade-5-prop,6,5.0,5mm,4.0,4.99,,9.45,https://www.racedayquads.com/products/hq-prop-5x4x6-hex-blade-5-prop-4-pack-light-grey,
HQProp,"HQ Prop 6x3x3 Tri-Blade 6"" Prop - Choose Your",hqprop-hq-prop-6x3x3-tri-blade-6-prop-choose-your,3,6.0,5mm,3.0,4.99,,5.4,https://www.racedayquads.com/products/hq-prop-6x3x3-tri-blade-6-prop-4-pack-choose-your-color,
HQProp,"HQ Prop 6x3x3 V1S Tri-Blade 6"" Prop",hqprop-hq-prop-6x3x3-v1s-tri-blade-6-prop,3,6.0,5mm,3.0,4.49,,5.87,https://www.racedayquads.com/products/hq-6x3x3-v1s-6-prop-choose-your-color,
HQProp,"HQ Prop 6x4.3x2 Bi-Blade 6"" Prop",hqprop-hq-prop-6x4-3x2-bi-blade-6-prop,2,6.0,5mm,4.3,4.49,,4.7,https://www.racedayquads.com/products/hq-prop-6043-6x4-3x2-bi-blade-6-prop-4-pack-grey,
HQProp,"HQ Prop 6x4.5x3 Tri-Blade 6"" Prop",hqprop-hq-prop-6x4-5x3-tri-blade-6-prop,3,6.0,5mm,4.5,4.49,,7.5,https://www.racedayquads.com/products/hq-prop-6x4-5x3-tri-blade-6-prop-4-pack-gray,
HQProp,"HQ Prop 7.5x3.7x3 Tri-Blade 7.5"" Prop",hqprop-hq-prop-7-5x3-7x3-tri-blade-7-5-prop,3,7.5,5mm,3.7,5.99,,9.4,https://www.racedayquads.com/products/hq-prop-7-5x3-7x3-tri-blade-7-5-prop-4-pack-gray,
HQProp,"HQ Prop 75mm Cinewhoop 2.95x3.6x3 Tri-Blade 3"" Prop",hqprop-hq-prop-75mm-cinewhoop-2-95x3-6x3-tri-blade-3-prop,3,2.95,5mm,3.6,3.49,,1.95,https://www.racedayquads.com/products/hq-prop-75mm-cinewhoop-2-95x3-6x3-tri-blade-3-prop-4-pack-grey,
HQProp,"HQ Prop 7x4.5x2 Durable Bi-Blade 7"" Prop",hqprop-hq-prop-7x4-5x2-durable-bi-blade-7-prop,2,7.0,5mm,4.5,4.99,,6.6,https://www.racedayquads.com/products/hq-prop-7x4-5x2-durable-bi-blade-7-prop-4-pack-grey-1,
HQProp,"HQ Prop 7x5.5x2 Bi-Blade 7"" Prop",hqprop-hq-prop-7x5-5x2-bi-blade-7-prop,2,7.0,5mm,5.5,4.99,,6.4,https://www.racedayquads.com/products/hq-prop-7x5-5x2-bi-blade-7-prop-4-pack-light-grey,
HQProp,"HQ Prop 8x3.7x3 Tri-Blade 8"" Prop",hqprop-hq-prop-8x3-7x3-tri-blade-8-prop,3,8.0,5mm,3.7,7.49,,12.0,https://www.racedayquads.com/products/hq-prop-8x3-7x3-tri-blade-8-prop-2-pack-gray,
HQProp,"HQ Prop 8x5 Bi-Blade 8"" Prop",hqprop-hq-prop-8x5-bi-blade-8-prop,2,8.0,5mm,5.0,5.99,,10.0,https://www.racedayquads.com/products/hq-prop-8x5-bi-blade-8-prop-4-pack-light-gray,
HQProp,"HQ Prop Cine8 8x4.5x3 Tri-Blade 8"" Prop",hqprop-hq-prop-cine8-8x4-5x3-tri-blade-8-prop,3,8.0,5mm,4.5,8.49,,13.0,https://www.racedayquads.com/products/hq-prop-cine8-8x4-5x3-tri-blade-8-prop-2-pack-black,
HQProp,"HQ Prop D4x5x3 Tri-Blade 4"" Cinewhoop Prop",hqprop-hq-prop-d4x5x3-tri-blade-4-cinewhoop-prop,3,4.0,5mm,5.0,3.99,,4.6,https://www.racedayquads.com/products/hq-prop-d4x5x3-tri-blade-4-cinewhoop-prop-4-pack-gray,
HQProp,"HQ Prop D5.1x5x3 Tri-Blade 5"" Prop for Cinequads",hqprop-hq-prop-d5-1x5x3-tri-blade-5-prop-for-cinequads,3,5.1,5mm,5.0,4.99,,5.0,https://www.racedayquads.com/products/hq-prop-d5-1x5x3-tri-blade-5-prop-for-cinequads-4-pack-grey,
HQProp,"HQ Prop D76MM Tri-Blade 3"" Cinewhoop Prop",hqprop-hq-prop-d76mm-tri-blade-3-cinewhoop-prop,3,3.0,5mm,3.0,2.79,,2.0,https://www.racedayquads.com/products/hq-prop-d76mm-3-cinewhoop-tri-blade-prop-4-pack-gray,
HQProp,"HQ Prop DP 5.1x2.5x3 Tri-Blade 5"" Prop",hqprop-hq-prop-dp-5-1x2-5x3-tri-blade-5-prop,3,5.1,5mm,2.5,3.99,,3.1,https://www.racedayquads.com/products/hq-prop-dp-5-1x2-5x3-tri-blade-5-prop-4-pack-grey,
HQProp,"HQ Prop DT2.9x2.5x4 Quad-Blade 2.9"" Prop for the DJI Avata - Choose Your",hqprop-hq-prop-dt2-9x2-5x4-quad-blade-2-9-prop-for-the-dji-avata-choose-your,4,2.9,2mm,2.5,1.0,,2.15,https://www.racedayquads.com/products/hq-prop-dt2-9x2-5x4-quad-blade-2-9-prop-4-pack-for-the-dji-avata-choose-your-color,
HQProp,"HQ Prop DT2.9x2.7x3 Tri-Blade 2.9"" Prop for the DJI Avata - Choose Your",hqprop-hq-prop-dt2-9x2-7x3-tri-blade-2-9-prop-for-the-dji-avata-choose-your,3,2.9,2mm,2.7,4.99,,1.7,https://www.racedayquads.com/products/hq-prop-dt2-9x2-7x3-tri-blade-2-9-prop-4-pack-for-the-dji-avata-choose-your-color,
HQProp,"HQ Prop DT90MMX3 Tri-Blade 3.5"" Cinewhoop Prop",hqprop-hq-prop-dt90mmx3-tri-blade-3-5-cinewhoop-prop,3,3.5,1.5mm,3.0,3.99,,2.35,https://www.racedayquads.com/products/hq-prop-t90mmx3-tri-blade-3-5-cinewhoop-prop-4-pack-gray,
HQProp,"HQ Prop DT90MMX4 Quad-Blade 3.5"" Cinewhoop Prop - Choose Your",hqprop-hq-prop-dt90mmx4-quad-blade-3-5-cinewhoop-prop-choose-your,4,3.5,1.5mm,3.0,3.49,,2.9,https://www.racedayquads.com/products/hq-prop-dt90mmx4-quad-blade-3-5-cinewhoop-prop-4-pack-gray,
HQProp,"HQ Prop Duct 75mm Cinewhoop Hexa-Blade 3"" Prop",hqprop-hq-prop-duct-75mm-cinewhoop-hexa-blade-3-prop,6,2.95,5mm,3.0,2.79,,2.6,https://www.racedayquads.com/products/hq-prop-duct-75mm-cinewhoop-hexa-blade-3-prop-4-pack-grey,
HQProp,"HQ Prop Duct 75mm Cinewhoop Penta-Blade 3"" Prop",hqprop-hq-prop-duct-75mm-cinewhoop-penta-blade-3-prop,5,3.0,1.5mm,3.0,3.49,,2.35,https://www.racedayquads.com/products/hq-prop-duct-75mm-cinewhoop-penta-blade-3-prop-4-pack-grey,
HQProp,"HQ Prop Duct 76MMX8 Octa-Blade 3"" Prop",hqprop-hq-prop-duct-76mmx8-octa-blade-3-prop,8,3.0,5mm,3.0,3.99,,3.1,https://www.racedayquads.com/products/hq-prop-duct-76mmx8-octa-blade-76mm-cinewhoop-prop-4-pack-gray,
HQProp,"HQ Prop Duct 89MMX8 Octa-Blade 3.5"" Cinewhoop Prop",hqprop-hq-prop-duct-89mmx8-octa-blade-3-5-cinewhoop-prop,8,3.5,5mm,3.0,3.99,,3.9,https://www.racedayquads.com/products/hq-prop-duct-89mmx8-octa-blade-3-5-cinewhoop-prop-4-pack-gray,
HQProp,"HQ Prop Duct T63MMX3 Tri-Blade 2.5"" Cinewhoop Prop",hqprop-hq-prop-duct-t63mmx3-tri-blade-2-5-cinewhoop-prop,3,2.5,1.5mm,1.5,1.89,,1.4,https://www.racedayquads.com/products/hqprop-durable-t63mmx3-tri-blade-63mm-cinewhoop-prop-4-pack-light-gray,
HQProp,"HQ Prop Durable 2.9x2.9x4 Quad-Blade 3"" Prop",hqprop-hq-prop-durable-2-9x2-9x4-quad-blade-3-prop,4,2.9,5mm,2.9,3.99,,1.77,https://www.racedayquads.com/products/hq-prop-durable-2-9x2-9x4-quad-blade-3-prop-4-pack,
HQProp,"HQ Prop Durable 4x2.5 Bi-Blade 4"" Prop",hqprop-hq-prop-durable-4x2-5-bi-blade-4-prop,2,4.0,T-mount,2.5,3.99,,1.7,https://www.racedayquads.com/products/hq-prop-durable-4x2-5-bi-blade-4-prop-4-pack-gray,
HQProp,"HQ Prop Durable 5.1x3.6x3 Tri-Blade 5"" Prop",hqprop-hq-prop-durable-5-1x3-6x3-tri-blade-5-prop,3,5.1,5mm (standard),3.6,4.99,,4.6,https://www.racedayquads.com/products/hq-durable-prop-5-1x3-6x3-tri-blade-5-prop-4-pack,
HQProp,"HQ Prop Durable 7X3.5X3 Tri-Blade 7"" Prop",hqprop-hq-prop-durable-7x3-5x3-tri-blade-7-prop,3,7.0,5mm,3.5,4.99,,8.8,https://www.racedayquads.com/products/hq-prop-durable-7x3-5x3-tri-blade-7-prop-4-pack,
HQProp,"HQ Prop Durable 7x4x3 Tri-Blade 7"" Prop",hqprop-hq-prop-durable-7x4x3-tri-blade-7-prop,3,7.0,5mm,4.0,4.99,,9.1,https://pyrodrone.com/products/hq-7x4x3-2cw-2ccw|https://www.racedayquads.com/products/hq-durable-7x4x3-tri-blade-7-prop-4-pack,
HQProp,"HQ Prop Durable Prop 4X4.3X3 V1S Tri-Blade 4"" Prop - Choose Your",hqprop-hq-prop-durable-prop-4x4-3x3-v1s-tri-blade-4-prop-choose-your,3,4.0,5mm,4.3,2.79,,2.24,https://www.racedayquads.com/products/hq-prop-durable-prop-4x4-3x3-v1s-tri-blade-4-prop-4-pack-choose-your-color,
HQProp,"HQ Prop Durable T2x2x4 Quad-Blade 2"" Prop",hqprop-hq-prop-durable-t2x2x4-quad-blade-2-prop,4,2.0,1.4mm,2.0,2.49,,0.8,https://www.racedayquads.com/products/hq-prop-durable-t2x2x4-quad-blade-2-prop-4-pack,
HQProp,"HQ Prop Durable T4x2.5 Bi-Blade 4"" Prop",hqprop-hq-prop-durable-t4x2-5-bi-blade-4-prop,2,4.0,T-mount,2.5,3.99,,1.45,https://www.racedayquads.com/products/hq-prop-durable-t4x2-5-bi-blade-4-prop-4-pack,
HQProp,"HQ Prop Durable T4x2x3 Tri-Blade 4"" Prop",hqprop-hq-prop-durable-t4x2x3-tri-blade-4-prop,3,4.0,1.4mm,2.0,3.99,,2.0,https://www.racedayquads.com/products/hq-prop-durable-t4x2x3-bi-blade-4-prop-4-pack,
HQProp,"HQ Prop ETHIX K2 6x4x2 Durable Bi-Blade 6"" Prop - Bubble Gum",hqprop-hq-prop-ethix-k2-6x4x2-durable-bi-blade-6-prop-bubble-gum,2,6.0,5mm,4.0,4.99,,5.1,https://www.racedayquads.com/products/hq-prop-ethix-k2-6x4x2-durable-bi-blade-6-prop-4-pack-bubble-gum,
HQProp,"HQ Prop ETHIX P3.3 5.1x3.3x3 Tri-Blade 5"" Prop - Mango Lassi",hqprop-hq-prop-ethix-p3-3-5-1x3-3x3-tri-blade-5-prop-mango-lassi,3,5.1,5mm,3.3,4.49,,3.5,https://www.racedayquads.com/products/hq-prop-ethix-5-1x3-3x3-tri-blade-5-prop-4-pack-mango-lassi,
HQProp,"HQ Prop ETHIX P3.5 5.1x3.5x3 Tri-Blade 5"" Prop - RAD Berry",hqprop-hq-prop-ethix-p3-5-5-1x3-5x3-tri-blade-5-prop-rad-berry,3,5.1,5mm,3.5,4.99,,3.5,https://www.racedayquads.com/products/hq-prop-ethix-rad-berry-5-1x3-5x3-tri-blade-5-prop-4-pack,
HQProp,"HQ Prop ETHIX P4 5.1x4x3 Tri-Blade 5"" Prop - Candy Cane",hqprop-hq-prop-ethix-p4-5-1x4x3-tri-blade-5-prop-candy-cane,3,5.1,5mm,4.0,4.99,,3.8,https://www.racedayquads.com/products/hq-prop-ethix-p4-5-1x4x3-tri-blade-5-prop-4-pack-candy-cane,
HQProp,"HQ Prop ETHIX S3 5x3.1x3 Tri-Blade 5"" Prop - Watermelon",hqprop-hq-prop-ethix-s3-5x3-1x3-tri-blade-5-prop-watermelon,3,5.0,5mm,3.1,4.99,,3.6,https://www.racedayquads.com/products/hq-ethix-s3-watermelon-props,
HQProp,"HQ Prop ETHIX S4 5x3.7x3 Tri-Blade 5"" Prop - Lemon",hqprop-hq-prop-ethix-s4-5x3-7x3-tri-blade-5-prop-lemon,3,5.0,5mm,3.7,4.99,,3.6,https://www.racedayquads.com/products/hq-prop-ethix-s4-5x3-7x3-tri-blade-5-prop-4-pack-lemon-lime,
HQProp,"HQ Prop ETHIX S5 5x4x3 Tri-Blade 5"" Prop",hqprop-hq-prop-ethix-s5-5x4x3-tri-blade-5-prop,3,5.0,5mm,4.0,4.99,,3.7,https://www.racedayquads.com/products/hq-prop-ethix-s5-5x4x3-tri-blade-5-prop-4-pack-light-grey,
HQProp,"HQ Prop HeadsUp Racing R38C Tri-Blade 4.9"" Prop",hqprop-hq-prop-headsup-racing-r38c-tri-blade-4-9-prop,3,4.9,5mm,4.0,4.99,,4.2,https://www.racedayquads.com/products/hq-prop-headsup-racing-r38c-tri-blade-4-9-prop-4-pack,
HQProp,"HQ Prop J75 7x5x3 Tri-Blade 7"" Prop",hqprop-hq-prop-j75-7x5x3-tri-blade-7-prop,3,7.0,5mm,5.0,4.99,,8.8,https://www.racedayquads.com/products/hq-prop-j75-7x5x3-tri-blade-7-prop-4-pack-gray,
HQProp,"HQ Prop Juicy Prop J37 4.9"" Prop - Choose Your",hqprop-hq-prop-juicy-prop-j37-4-9-prop-choose-your,3,4.9,5mm,3.7,3.49,,3.4,https://www.racedayquads.com/products/hq-prop-juicy-prop-j37-4-9-prop-4-pack-choose-your-color,
HQProp,"HQ Prop Juicy Prop J40 5.1"" Tri-Blade Prop - Choose Your",hqprop-hq-prop-juicy-prop-j40-5-1-tri-blade-prop-choose-your,4,5.1,5mm,4.0,3.49,,3.4,https://www.racedayquads.com/products/hq-prop-juicy-prop-j40-5-1-prop-4-pack-choose-your-color,
HQProp,"HQ Prop MacroQuad 10x4.5x3 Tri-Blade 10"" Glass Fiber Nylon Prop - CCW ()",hqprop-hq-prop-macroquad-10x4-5x3-tri-blade-10-glass-fiber-nylon-prop-ccw,3,10.0,5mm,4.5,5.99,,23.8,https://www.racedayquads.com/products/hq-prop-macroquad-prop-10x4-5x3r-tri-blade-10-glass-fiber-nylon-prop-ccw-1pc,
HQProp,"HQ Prop MacroQuad 10x4.5x3R Tri-Blade 10"" Glass Fiber Nylon Prop - CW ()",hqprop-hq-prop-macroquad-10x4-5x3r-tri-blade-10-glass-fiber-nylon-prop-cw,3,10.0,5mm,4.0,5.99,,23.8,https://www.racedayquads.com/products/hq-prop-macroquad-prop-10x4-5x3r-tri-blade-10-glass-fiber-nylon-prop-cw-1pc,
HQProp,"HQ Prop MacroQuad 10x5x3 Tri-Blade 10"" Glass Reinforced Prop - CCW ()",hqprop-hq-prop-macroquad-10x5x3-tri-blade-10-glass-reinforced-prop-ccw,3,10.0,5mm,5.0,5.99,,23.3,https://www.racedayquads.com/products/hq-prop-macroquad-10x5x3-tri-blade-10-glass-reinforced-prop-ccw,
HQProp,"HQ Prop MacroQuad 10x5x3R Tri-Blade 10"" Glass Reinforced Prop - CW ()",hqprop-hq-prop-macroquad-10x5x3r-tri-blade-10-glass-reinforced-prop-cw,3,10.0,5mm,5.0,5.99,,23.3,https://www.racedayquads.com/products/hq-prop-macroquad-10x5x3r-tri-blade-10-carbon-reinforced-prop-cw,
HQProp,"HQ Prop MacroQuad 7x4.5 Bi-Blade 7"" Glass Fiber Nylon Prop - CCW ()",hqprop-hq-prop-macroquad-7x4-5-bi-blade-7-glass-fiber-nylon-prop-ccw,2,7.0,5mm,4.5,2.99,,6.8,https://www.racedayquads.com/products/hq-prop-macroquad-7x4-5-bi-blade-7-glass-fiber-nylon-prop-ccw-1pc,
HQProp,"HQ Prop MacroQuad 7x4.5x3 Tri-Blade 7"" Glass Reinforced Prop - CCW ()",hqprop-hq-prop-macroquad-7x4-5x3-tri-blade-7-glass-reinforced-prop-ccw,3,7.0,5mm,4.5,3.99,,9.0,https://www.racedayquads.com/products/hq-prop-macroquad-7x4-5x3-tri-blade-7-glass-reinforced-prop-ccw-1pc,
HQProp,"HQ Prop MacroQuad 8x4.3x3 Tri-Blade 8"" Glass Reinforced Prop - CCW ()",hqprop-hq-prop-macroquad-8x4-3x3-tri-blade-8-glass-reinforced-prop-ccw,3,8.0,5mm,4.3,4.99,,13.5,https://www.racedayquads.com/products/hq-prop-macroquad-8x4-3x3-tri-blade-8-glass-reinforced-prop-ccw-1pc,
HQProp,"HQ Prop MacroQuad 8x4.5x3 Tri-Blade 8"" Carbon or Glass Reinforced Prop - CCW ()",hqprop-hq-prop-macroquad-8x4-5x3-tri-blade-8-carbon-or-glass-reinforced-prop-ccw,3,8.0,5mm,4.5,4.99,,15.5,https://www.racedayquads.com/products/hq-prop-macroquad-8x4-5x3-tri-blade-8-carbon-reinforced-prop-ccw,
HQProp,"HQ Prop MacroQuad 8x4.5x3R Tri-Blade 8"" Glass Reinforced Prop - CW ()",hqprop-hq-prop-macroquad-8x4-5x3r-tri-blade-8-glass-reinforced-prop-cw,3,8.0,5mm,4.0,3.89,,15.5,https://www.racedayquads.com/products/hq-prop-macroquad-8x4-5x3r-8-tri-blade-carbon-reinforced-prop-cw,
HQProp,"HQ Prop MacroQuad 8x4x3 Tri-Blade 8"" Glass Fiber Nylon Prop - CW ()",hqprop-hq-prop-macroquad-8x4x3-tri-blade-8-glass-fiber-nylon-prop-cw,3,8.0,5mm,4.0,4.99,,12.8,https://www.racedayquads.com/products/hq-prop-macroquad-8x4x3-tri-blade-8-glass-fiber-nylon-prop-cw-1pc,
HQProp,"HQ Prop MacroQuad 9x5x3R Tri-Blade 9"" Glass Reinforced Prop - CW ()",hqprop-hq-prop-macroquad-9x5x3r-tri-blade-9-glass-reinforced-prop-cw,3,9.0,5mm,5.0,5.99,,17.4,https://www.racedayquads.com/products/hq-prop-macroquad-9x5x3r-tri-blade-9-glass-reinforced-prop-cw,
HQProp,"HQ Prop MacroQuad Prop 7x4.5 Bi-Blade 7"" Glass Fiber Nylon Prop - CW ()",hqprop-hq-prop-macroquad-prop-7x4-5-bi-blade-7-glass-fiber-nylon-prop-cw,2,7.0,5mm,4.5,2.99,,6.8,https://www.racedayquads.com/products/hq-prop-macroquad-prop-7x4-5-bi-blade-7-glass-fiber-nylon-prop-cw-1pc,
HQProp,"HQ Prop PizzaCutters 5x3.7x3 Tri-Blade 5"" Prop - Choose",hqprop-hq-prop-pizzacutters-5x3-7x3-tri-blade-5-prop-choose,3,5.0,5mm,3.7,3.49,,4.0,https://www.racedayquads.com/products/hq-prop-pizzacutters-5037-5x3-7x3-tri-blade-5-prop-4-pack-choose-color,
HQProp,"HQ Prop R35 5.1x3.5x3 Tri-Blade 5"" Prop - Choose",hqprop-hq-prop-r35-5-1x3-5x3-tri-blade-5-prop-choose,3,5.1,5mm,3.5,3.39,,4.18,https://www.racedayquads.com/products/hq-prop-r35-5-1x3-5x3-tri-blade-5-prop-4-pack-gray,
HQProp,"HQ Prop R36 5.1x3.6x3 Tri-Blade 5.1"" Racing Prop - Choose Your",hqprop-hq-prop-r36-5-1x3-6x3-tri-blade-5-1-racing-prop-choose-your,3,5.1,5mm,3.6,4.99,,4.1,https://www.racedayquads.com/products/hq-prop-r36-racing-propeller-5-1x3-6x3-tri-blade-5-1-prop-4-pack-choose-your-color,
HQProp,"HQ Prop R36 5.1x3.6x3 Tri-Blade 5"" Prop - Spinnaker",hqprop-hq-prop-r36-5-1x3-6x3-tri-blade-5-prop-spinnaker,3,5.1,5mm,3.6,3.99,,4.1,https://www.racedayquads.com/products/hq-prop-r36-5136-5-1x3-6x3-tri-blade-5-prop-4-pack-spinnaker,
HQProp,"HQ Prop R37 5.1x3.7x3 Tri-Blade 5.1"" Racing Prop - Choose Your",hqprop-hq-prop-r37-5-1x3-7x3-tri-blade-5-1-racing-prop-choose-your,3,5.1,5mm,3.7,4.99,,4.1,https://www.racedayquads.com/products/hq-prop-r37-5-1x3-7x3-tri-blade-5-1-racing-prop-4-pack-choose-your-color,
HQProp,"HQ Prop R37 5.1x3.7x3 Tri-Blade 5"" Prop - Stickman",hqprop-hq-prop-r37-5-1x3-7x3-tri-blade-5-prop-stickman,3,5.1,5mm,3.7,3.99,,4.1,https://www.racedayquads.com/products/hq-prop-r37-5137-5-1x3-7x3-tri-blade-5-prop-4-pack-spinnaker-pink,
HQProp,"HQ Prop R38 HeadsUp Racing 5.1x3.8x3 Tri-Blade 5"" Prop - Choose Your",hqprop-hq-prop-r38-headsup-racing-5-1x3-8x3-tri-blade-5-prop-choose-your,3,5.1,5mm,3.8,4.49,,4.4,https://www.racedayquads.com/products/hq-prop-r38-headsup-racing-5-1x3-8x3-tri-blade-5-prop-4-pack,
HQProp,"HQ Prop R42 5.1x4.2x3 5"" Tri-Blade Prop",hqprop-hq-prop-r42-5-1x4-2x3-5-tri-blade-prop,3,5.1,5mm,4.2,4.49,,4.9,https://www.racedayquads.com/products/hq-prop-r42-5-1x4-2x3-5-tri-blade-prop-4-pack-grey,
HQProp,"HQ Prop T3.5x2.2x2 Bi-Blade 3.5"" Prop",hqprop-hq-prop-t3-5x2-2x2-bi-blade-3-5-prop,2,3.5,1.5mm,2.2,4.99,,1.1,https://www.racedayquads.com/products/hq-prop-t3-5x2-2x2-bi-blade-3-5-prop-4-pack-grey,
HQProp,"HQ Prop T3.5x2.5x3 Tri-Blade 3.5"" Prop",hqprop-hq-prop-t3-5x2-5x3-tri-blade-3-5-prop,3,3.5,1.5mm,2.5,3.99,,1.55,https://www.racedayquads.com/products/hq-prop-t3-5x2-5x3-tri-blade-3-5-prop-4-pack-grey,
HQProp,"HQ Prop T3x1.5 Durable Bi-Blade 3"" Prop",hqprop-hq-prop-t3x1-5-durable-bi-blade-3-prop,2,3.0,1.4mm,1.5,2.49,,0.78,https://www.racedayquads.com/products/hq-prop-t3x1-5-durable-bi-blade-3-prop-4-pack-grey,
HQProp,"HQ Prop T3x1.5x3 Durable Tri-Blade 3"" Prop",hqprop-hq-prop-t3x1-5x3-durable-tri-blade-3-prop,3,3.0,1.4mm,1.5,3.99,,1.13,https://www.racedayquads.com/products/hq-prop-t3x1-5x3-durable-tri-blade-3-prop-4-pack-grey,
HQProp,"HQ Prop T3x2.5x3 Durable Tri-Blade 3"" Prop",hqprop-hq-prop-t3x2-5x3-durable-tri-blade-3-prop,3,3.0,T-mount,2.5,2.29,,1.35,https://www.racedayquads.com/products/hq-prop-t3x2-5x3-durable-tri-blade-3-prop-4-pack-grey,
HQProp,"HQ Prop T3x3 Bi-Blade 3"" Prop - Choose Your",hqprop-hq-prop-t3x3-bi-blade-3-prop-choose-your,3,3.0,1.5mm,3.0,2.49,,1.25,https://www.racedayquads.com/products/hq-t3x3-bi-blade-prop-for-3,
HQProp,"HQ Prop T3x3x3 PC Durable Tri-Blade 3"" Prop (3 Hole) - Choose Your",hqprop-hq-prop-t3x3x3-pc-durable-tri-blade-3-prop-3-hole-choose-your,3,3.0,1.5mm,3.0,2.99,,1.48,https://www.racedayquads.com/products/hq-t3x3x3-pc-dp-durable-prop-for-3-three-hole-mount,
HQProp,"HQ Prop T51MMX6 Hexa-Blade 2"" Cinewhoop Prop",hqprop-hq-prop-t51mmx6-hexa-blade-2-cinewhoop-prop,6,2.0,1.5mm,1.5,2.49,,0.94,https://www.racedayquads.com/products/hq-prop-duct-t51mmx6-hexa-blade-51mm-cinewhoop-prop-4-pack-light-gray,
HQProp,"HQ Prop T63MMX8 Octo-Blade 2.5"" T-Mount Prop",hqprop-hq-prop-t63mmx8-octo-blade-2-5-t-mount-prop,8,2.5,T-mount,1.5,2.49,,2.1,https://www.racedayquads.com/products/hq-prop-t63mmx8-octo-blade-t-mount-props-4pack-gray,
HQProp,"HQ Prop T65MMX3 Tri-Blade 2.5"" Prop",hqprop-hq-prop-t65mmx3-tri-blade-2-5-prop,2,2.5,1.4mm,1.5,2.49,,0.8,https://www.racedayquads.com/products/hq-prop-t65mmx3-tri-blade-2-5-prop-4-pack,
HQProp,"HQ Prop T76MM Tri-Blade 3"" Cinewhoop Prop",hqprop-hq-prop-t76mm-tri-blade-3-cinewhoop-prop,3,3.0,1.5mm,3.0,3.49,,2.0,https://www.racedayquads.com/products/hq-prop-t76mm-3-cinewhoop-tri-blade-prop-4-pack-gray,
HQProp,HQ Prop Ultralight 31MMX3 Tri-Blade 31mm Micro/Whoop Prop,hqprop-hq-prop-ultralight-31mmx3-tri-blade-31mm-micro-whoop-prop,3,1.22,1mm,1.0,2.99,,0.27,https://www.racedayquads.com/products/hq-ultralight-whoop-prop-31mmx3-1mm-shaft-tri-blade-4-pack-grey,
