brand,model,slug,bec_output,esc_current_a,esc_firmware,fc_firmware,gyro,kind,max_cells,mcu,mount_mm,price_usd,weight_g,sources,note
HDZero,Halo Stack - H743 ELRS FC (MPU6000) + 70A AM32 ESC - 20x20,hdzero-halo-stack-h743-elrs-fc-mpu6000-70a-am32-esc-20x20,5V/4A,70,AM32 2.18,Betaflight: HDZERO_HALO,MPU6000,stack,3-8S,H743,20x20mm,148.99,,https://www.racedayquads.com/products/hdzero-halo-stack-h743-elrs-fc-mpu6000-70a-am32-esc-20x20,
HDZero,Halo Stack - H743 ELRS FC (MPU6000) + 70A BLHeli_32 ESC - 20x20,hdzero-halo-stack-h743-elrs-fc-mpu6000-70a-blheli-32-esc-20x20,5V/4A,70,BLHeli 32.10,Betaflight: HDZERO_HALO,MPU6000,stack,3-8S,H743,20x20mm,166.49,,https://www.racedayquads.com/products/hdzero-halo-stack-h743-elrs-fc-mpu6000-70a-blheli_32-esc-20x20,
HGLRC,Specter AIO - F411 FC + 12A 2-4S BLHeli_S ESC + ELRS RX,hglrc-specter-aio-f411-fc-12a-2-4s-blheli-s-esc-elrs-rx,5V 1.5A,12,Z-H-30 (BLHeli_S),,,AIO,2-4S,F411,25.5x25.5mm,85.99,5.6,https://www.racedayquads.com/products/hglrc-specter-aio-f411-fc-12a-2-4s-blheli_s-esc-elrs-rx,
HGLRC,SPECTER F460 HD 2-6S 30x30 Stack/Combo (F405 V2 FC / 8Bit 60A 4in1 ESC) - MPU6000,hglrc-specter-f460-hd-2-6s-30x30-stack-combo-f405-v2-fc-8bit-60a-4in1-esc-mpu6000,9V2A/5V2.5A,60,BL_S (J-H-30),HGLRCF405V2,MPU6000,stack,2-6S,F405,30.5x30.5mm,76.99,29.0,https://www.racedayquads.com/products/hglrc-specter-f460-hd-3-6s-30x30-stack-combo-f4-fc-8bit-60a-4in1-esc-mpu6000,
HGLRC,Specter F722 3-6S AIO Whoop/Toothpick (w/ 25A 8Bit 4in1 ESC),hglrc-specter-f722-3-6s-aio-whoop-toothpick-w-25a-8bit-4in1-esc,5V 2A,25,Q-H-30-Bluejay,,MPU6000,AIO,3-6S,F722,25.5x25.5mm,95.99,12.05,https://www.racedayquads.com/products/hglrc-specter-f722-3-6s-aio-whoop-toothpick-flight-controller-w-25a-8bit-4in1-esc,
HGLRC,SPECTER F722 4-6S AIO Whoop/Toothpick (w/ 40A 8Bit 4in1 ESC) - MPU6000,hglrc-specter-f722-4-6s-aio-whoop-toothpick-w-40a-8bit-4in1-esc-mpu6000,5V2A,40,,,,AIO,4-6S,F722,25.5x25.5mm,98.99,9.8,https://www.racedayquads.com/products/hglrc-specter-f722-4-6s-aio-whoop-toothpick-flight-controller-w-40a-8bit-4in1-esc-mpu6000,
HOBBYWING,XRotor F722 3-6S 20x20 Stack/Combo (F7 FC / 32Bit 45A 4in1 ESC),hobbywing-xrotor-f722-3-6s-20x20-stack-combo-f7-fc-32bit-45a-4in1-esc,,45,Hobbywing_XRotor_BLHeli-32 Version,,MPU6500,stack,3-6S,F722,20x20mm / 30x30mm,159.99,12.0,https://www.racedayquads.com/products/hobbywing-xrotor-f722-3-6s-20x20-stack-combo-f7-fc-32bit-45a-4in1-esc,
HOLYBRO,Kakute F4 HD V2.4 4-6S 30x30 Stack/Combo (F405 FC/ 50A F4 32Bit 4in1 ESC),holybro-kakute-f4-hd-v2-4-4-6s-30x30-stack-combo-f405-fc-50a-f4-32bit-4in1-esc,,50,,,MPU6000,stack,4-6S,F405,30x30mm,122.49,7.0,https://www.racedayquads.com/products/holybro-kakute-f4-hd-v2-4-4-6s-30x30-stack-combo-f405-fc-50a-f4-32bit-4in1-esc,
HOLYBRO,Kakute G4 2-6S AIO Whoop/Toothpick w/ F4 AM32 35A 32Bit 4in1 ESC,holybro-kakute-g4-2-6s-aio-whoop-toothpick-w-f4-am32-35a-32bit-4in1-esc,5V/3A & 10V/2.5A,35,,,ICM42688,AIO,2-6S,G473,25x25mm,116.49,7.5,https://www.racedayquads.com/products/holybro-kakute-g4-2-6s-aio-whoop-toothpick-flight-controller-w-f4-am32-35a-32bit-4in1-esc,
iFlight,Blitz ATF435 E55S 2-6S 30x30 Stack/Combo (ATF435 FC/ 55A 8Bit 4in1 ESC),iflight-blitz-atf435-e55s-2-6s-30x30-stack-combo-atf435-fc-55a-8bit-4in1-esc,,55,,,BMI270,stack,2-6S,AT32F435,30.5x30.5mm,86.49,7.8,https://www.racedayquads.com/products/iflight-blitz-atf435-e55s-2-6s-30x30-stack-combo-atf435-fc-55a-8bit-4in1-esc,
iFlight,Blitz F7 V1.2 2-6S 30x30 Stack/Combo (F7 FC/ E55 32Bit 55A 4in1 ESC),iflight-blitz-f7-v1-2-2-6s-30x30-stack-combo-f7-fc-e55-32bit-55a-4in1-esc,,55,BLHeli32,,ICM42688,stack,2-6S,F722,30.5x30.5mm,155.99,7.8,https://www.racedayquads.com/products/draft-blitz-f7blitz-f7-v1-2-icm42688-e55-4-in-1-flight-tower-system,
iFlight,Blitz F722 E55 2-6S 30x30 Stack/Combo (F722 FC/ 55A 32bit 4in1 ESC),iflight-blitz-f722-e55-2-6s-30x30-stack-combo-f722-fc-55a-32bit-4in1-esc,,55,BLHeli 32,,BMI270,stack,2-6S,F722,30.5x30.5mm,155.99,,https://www.racedayquads.com/products/iflight-blitz-f722-e55-2-6s-30x30-stack-combo-f722-fc-55a-32bit-4in1-esc,
iFlight,BLITZ Mini F7 V1.2 2-6S 20x20 Stack/Combo (F7 FC/ 55A 32Bit 4in1 ESC),iflight-blitz-mini-f7-v1-2-2-6s-20x20-stack-combo-f7-fc-55a-32bit-4in1-esc,none,55,BLHeli 32,,ICM42688,stack,2-6S,F722,20x20mm,124.99,5.0,https://www.racedayquads.com/products/draft-iflight-blitz-mini-f7-v1-2-e55-4-in-1-flight-tower-system,
iFlight,BLITZ Mini F7 V1.2 E55S 2-6S 20x20 Stack/Combo (F7 FC / 55A BlheliS 4in1 ESC),iflight-blitz-mini-f7-v1-2-e55s-2-6s-20x20-stack-combo-f7-fc-55a-blhelis-4in1-esc,none,55,,,ICM42688,stack,2-6S,F722,20x20mm,95.99,5.0,https://www.racedayquads.com/products/iflight-blitz-mini-f7-v1-2-e55s-2-6s-20x20-stack-combo-f7-fc-55a-blhelis-4in1-esc,
iFlight,Blitz Mini F722 E55 2-6S 20x20 Stack/Combo (F722 FC/ 55A 32bit 4in1 V1.3 ESC),iflight-blitz-mini-f722-e55-2-6s-20x20-stack-combo-f722-fc-55a-32bit-4in1-v1-3-esc,none,55,BLHeli32,,BMI270,stack,2-6S,F722,20x20mm,139.99,11.3,https://www.racedayquads.com/products/iflight-blitz-mini-f722-e55-2-6s-20x20-stack-combo-f722-fc-55a-32bit-4in1-v1-3-esc,
iFlight,Blitz Whoop F7 AIO [V1.1] 2-6S AIO Toothpick / Whoop (w/ 55A 8Bit 4in1 ESC),iflight-blitz-whoop-f7-aio-v1-1-2-6s-aio-toothpick-whoop-w-55a-8bit-4in1-esc,,55,"Q-H-40 - Bluejay, 0.16, 24kHz",IFLIGHT_BLITZ_F7_AIO,BMI270,AIO,2-6S,F745,25.5x25.5mm,131.99,10.5,https://www.racedayquads.com/products/iflight-blitz-whoop-f7-aio-v1-1,
iFlight,Borg Stack - 5S RX F4 FC + 60RS 60A 4-in-1 BLHeli_32 4-8S ESC - 20X20,iflight-borg-stack-5s-rx-f4-fc-60rs-60a-4-in-1-blheli-32-4-8s-esc-20x20,,60,BL32 (32bit ESC),IFLIGHT_BLITZ_ATF435(Betaflight),ICM42688,stack,4-8S,AT32F435,20x20mm,104.99,21.0,https://www.racedayquads.com/products/iflight-borg-stack-5s-rx-f4-fc-60rs-60a-4-in-1-blheli_32-4-8s-esc-20x20,
iFlight,F411 V1.1 2-4S AIO FC w/ 20A 8Bit ESC,iflight-f411-v1-1-2-4s-aio-fc-w-20a-8bit-esc,5V 2A,20,Bluejay Q-H-50,,BMI270,AIO,2-4S,F411,25.5x25.5mm,83.99,7.5,https://www.racedayquads.com/products/iflight-f411-v1-1-aio-fc-w-20a-8-bit-esc,
NewBeeDrone,BeeBrain BLV4 F411 1-2S AIO Whoop/Toothpick w/ 12A 8Bit 4in1 ESC & 400mW - CRSF,newbeedrone-beebrain-blv4-f411-1-2s-aio-whoop-toothpick-w-12a-8bit-4in1-esc-400mw-crsf,,12,,,BMI270,AIO,1-2S,F411,25x25mm,98.99,6.5,https://www.racedayquads.com/products/newbeedrone-beebrain-blv4-f411-1-2s-aio-whoop-toothpick-flight-controller-w-12a-8bit-4in1-esc-400mw-vtx-crsf,
NewBeeDrone,BeeBrain BLV5 AIO - G4 FC + 18A 1-2S 4-in-1 Bluejay ESC - MPU6000 - 25X25,newbeedrone-beebrain-blv5-aio-g4-fc-18a-1-2s-4-in-1-bluejay-esc-mpu6000-25x25,,18,,,MPU6000,AIO,1-2S,G474,25x25mm,118.99,5.8,https://www.racedayquads.com/products/newbeedrone-beebrain-blv5-aio-g4-fc-18a-1-2s-4-in-1-bluejay-esc-mpu6000-25x25,
NewBeeDrone,Hummingbird 200 RaceSpec Stack - F4 ELRS FC + 80A AM32 ESC - 20x20,newbeedrone-hummingbird-200-racespec-stack-f4-elrs-fc-80a-am32-esc-20x20,,80,AM32,,ICM42688,stack,3-6S,AT32F435,20x20mm,92.49,4.8,https://www.racedayquads.com/products/newbeedrone-hummingbird-200-racespec-stack-f4-elrs-fc-80a-am32-esc-20x20,
NewBeeDrone,Hummingbird 255 AIO - F4 FC + 50A 3-6S AM32 ESC,newbeedrone-hummingbird-255-aio-f4-fc-50a-3-6s-am32-esc,,50,,,ICM42688,AIO,3-6S,AT32F435,25.5x25.5mm,73.99,10.2,https://www.racedayquads.com/products/newbeedrone-hummingbird-255-aio-f4-fc-50a-3-6s-am32-esc,
NewBeeDrone,HummingBird V3 F411 1S AIO Whoop/Toothpick (w/12A 8Bit 4in1 ESC & 25mW ) - ELRS 2.4GHz (SPI),newbeedrone-hummingbird-v3-f411-1s-aio-whoop-toothpick-w-12a-8bit-4in1-esc-25mw-elrs-2-4ghz-spi,,12,,,,AIO,1S,F411,25.5x25.5mm,83.99,4.57,https://www.racedayquads.com/products/newbeedrone-hummingbird-v3-f411-1s-aio-whoop-toothpick-flight-controller-w-12a-8bit-4in1-esc-25mw-vtx-elrs-2-4ghz,
NewBeeDrone,HummingBird V4 AIO - F4 FC + 12A 1S 4-in-1 BLHeliS ESC + ELRS RX + 400mW - 25x25,newbeedrone-hummingbird-v4-aio-f4-fc-12a-1s-4-in-1-blhelis-esc-elrs-rx-400mw-25x25,,12,,,BMI270,AIO,1S,F411,25x25mm,90.99,4.57,https://www.racedayquads.com/products/newbeedrone-hummingbird-v4-aio-f4-fc-12a-1s-4-in-1-blhelis-esc-elrs-rx-400mw-vtx-25x25,
NewBeeDrone,Infinity V2 PRO 3-6S 30x30 AIO w/ 55A 32bit ESC,newbeedrone-infinity-v2-pro-3-6s-30x30-aio-w-55a-32bit-esc,10V 3A 30W Design for DJI FPV Air Unit,55,,,BMI270,AIO,3-6S,F745,30.5x30.5mm,191.99,22.0,https://www.racedayquads.com/products/newbeedrone-infinity-v2-pro-3-6s-30x30-aio-flight-controller-w-55a-32bit-esc,
RunCam,SpeedyBee AIO - F4 FC + 40A 3-6S 4-in-1 Bluejay ESC - 25x25,runcam-speedybee-aio-f4-fc-40a-3-6s-4-in-1-bluejay-esc-25x25,,40,Bluejay JH-40 48kHz,,ICM42688P,AIO,3-6S,F405,25.5x25.5mm,67.49,13.6,https://www.racedayquads.com/products/speedybee-aio-f4-fc-40a-3-6s-4-in-1-bluejay-esc-25x25,
RunCam,SpeedyBee F4 Mini 3-6S 20x20 Stack/Combo (F405 FC / 35A 8Bit 4in1 ESC),runcam-speedybee-f4-mini-3-6s-20x20-stack-combo-f405-fc-35a-8bit-4in1-esc,,35,BLHeli_S J-H-40,,,stack,3-6S,F405,20x20mm,110.99,13.5,https://www.racedayquads.com/products/speedybee-f4-3-6s-20x20-stack-combo-f405-fc-35a-8bit-4in1-esc,
RunCam,SpeedyBee F405 V3 BLS 3-6S 30x30 Stack/Combo (F405 FC / 8Bit 50A 4in1 ESC),runcam-speedybee-f405-v3-bls-3-6s-30x30-stack-combo-f405-fc-8bit-50a-4in1-esc,,50,BLHeli_S JH50,,,stack,3-6S,F405,30.5x30.5mm,86.49,9.6,https://www.racedayquads.com/products/speedybee-f405-v3-bls-3-6s-30x30-stack-combo-f405-fc-50a-4in1-esc,
RunCam,SpeedyBee F405 V4 BLS 3-6S 30x30 Stack/Combo (F405 FC / 8Bit 55A 4in1 ESC),runcam-speedybee-f405-v4-bls-3-6s-30x30-stack-combo-f405-fc-8bit-55a-4in1-esc,,55,BLHeli_S J-H-40,,,stack,3-6S,F405,30.5x30.5mm,86.49,10.5,https://www.racedayquads.com/products/speedybee-f405-v4-bls-3-6s-30x30-stack-combo-f405-fc-8bit-55a-4in1-esc,
RunCam,SpeedyBee F405 V5 Stack - F405 FC + 55A 3-6S OX32 ESC - 30x30 - Deluxe,runcam-speedybee-f405-v5-stack-f405-fc-55a-3-6s-ox32-esc-30x30-deluxe,,55,,,,stack,3-6S,F405,30.5x30.5mm,129.49,8.1,https://www.racedayquads.com/products/speedybee-f405-v5-stack-f405-fc-55a-3-6s-ox32-esc-30x30-deluxe,
RunCam,SpeedyBee F405 V5 Stack - F405 FC + 55A 3-6S OX32 ESC - 30x30 - Standard,runcam-speedybee-f405-v5-stack-f405-fc-55a-3-6s-ox32-esc-30x30-standard,,55,,,,stack,3-6S,F405,30.5x30.5mm,119.99,8.1,https://www.racedayquads.com/products/speedybee-f405-v5-stack-f405-fc-55a-3-6s-ox32-esc-30x30-standard,
RunCam,SpeedyBee F7 Mini 35A 3-6S 20x20 Stack/Combo (F7 FC / 35A 8bit 4in1 ESC),runcam-speedybee-f7-mini-35a-3-6s-20x20-stack-combo-f7-fc-35a-8bit-4in1-esc,,35,BLHeli_S JH40,"BetaFlight(Default), EMUFlight, INAV",BMI270,stack,3-6S,F722,20x20mm,95.99,5.7,https://www.racedayquads.com/products/speedybee-f7-mini-35a-3-6s-20x20-stack-combo-f7-fc-35a-8bit-4in1-esc,
RunCam,SpeedyBee V3 F722 3-6S 30x30 Stack/Combo (F722 FC / 50A 32bit 4in1 ESC),runcam-speedybee-v3-f722-3-6s-30x30-stack-combo-f722-fc-50a-32bit-4in1-esc,,50,SpeedyBee BL32 50A,,BMI270,stack,3-6S,F722,30.5x30.5mm,151.49,9.0,https://www.racedayquads.com/products/speedybee-v3-f722-3-6s-30x30-stack-combo-f722-fc-50a-32bit-4in1-esc,
SEQURE,H743 & E70 G1 4-8S 20x20 Stack/Combo (H743 MPU6000 FC / 70A 128K ESC),sequre-h743-e70-g1-4-8s-20x20-stack-combo-h743-mpu6000-fc-70a-128k-esc,,70,,,MPU6000,stack,4-8S,H743,20x20mm / 30.5x30.5mm,199.49,7.5,https://www.racedayquads.com/products/sequre-h743-e70-g1-stack-4-8s-20x20-stack-combo-h743-mpu6000-fc-70a-128k-esc,
SKYSTARSRC,F722 HD PRO4 3-6S 30x30 Stack/Combo (F722 FC / KM60 AM-32 32Bit 60A 4in1 ESC) - MPU6000,skystarsrc-f722-hd-pro4-3-6s-30x30-stack-combo-f722-fc-km60-am-32-32bit-60a-4in1-esc-mpu6000,none,60,AM_32,,MPU6000,stack,3-6S,F722,30.5x30.5mm,113.99,6.9,https://www.racedayquads.com/products/skystarsrc-f7hd-pro3-f7-3-6s-30x30-stack-combo-f7-fc-km60-am-32-32bit-60a-4in1-esc,
SKYSTARSRC,F722 RS 3-6S 20x20 Stack/Combo (F722 FC / MVP60 F4 128K 32Bit 60A 4in1 ESC) - MPU6000,skystarsrc-f722-rs-3-6s-20x20-stack-combo-f722-fc-mvp60-f4-128k-32bit-60a-4in1-esc-mpu6000,,60,BLHeli_32,,MPU6000,stack,3-6S,F722,20x20mm,131.99,4.9,https://www.racedayquads.com/products/skystarsrc-fly-stack-f722rs-3-6s-20x20-stack-combo-f722-fc-mvp60-f4-128k-32bit-60a-4in1-esc-mpu6000,
SKYSTARSRC,Fly Stack F405 HD2 3-6S 30x30 Stack/Combo (F405 FC / KO50A 8Bit 50A 4in1 ESC),skystarsrc-fly-stack-f405-hd2-3-6s-30x30-stack-combo-f405-fc-ko50a-8bit-50a-4in1-esc,,50,,,BMI270,stack,3-6S,F405,30.5x30.5mm,77.99,6.0,https://www.racedayquads.com/products/skystarsrc-fly-stack-f405-hd2-3-6s-30x30-stack-combo-f405-fc-ko50-32bit-50a-4in1-esc,
SKYSTARSRC,Fly Stack F7 HD Pro 3 3-6S 30x30 Stack/Combo (F722 FC / KO45 32Bit 45A 4in1 ESC),skystarsrc-fly-stack-f7-hd-pro-3-3-6s-30x30-stack-combo-f722-fc-ko45-32bit-45a-4in1-esc,,45,BLHELI 32 ESC,,BMI270,stack,3-6S,F722,30.5x30.5mm,118.99,6.9,https://www.racedayquads.com/products/skystarsrc-fly-stack-f7-hd-pro-3-3-6s-30x30-stack-combo-f722-fc-ko45-32bit-45a-4in1-esc,
SKYSTARSRC,Fly Stack F7 HD Pro3 3-6S 30x30 Stack/Combo (F722 FC / KM50 32Bit 50A 4in1 ESC),skystarsrc-fly-stack-f7-hd-pro3-3-6s-30x30-stack-combo-f722-fc-km50-32bit-50a-4in1-esc,none,50,Blheli_32,,BMI270,stack,3-6S,F722,30.5x30.5mm,118.99,6.9,https://www.racedayquads.com/products/skystarsrc-fly-stack-f7hd-pro-3-6s-30x30-stack-combo-f722-fc-km50-32-bit-50a-4-in-1-esc,
SKYSTARSRC,Fly Stack F7 HD Pro3 3-6S 30x30 Stack/Combo (F722 FC / KM60 32Bit 60A 4in1 ESC),skystarsrc-fly-stack-f7-hd-pro3-3-6s-30x30-stack-combo-f722-fc-km60-32bit-60a-4in1-esc,none,60,BLHeli_32,,BMI270,stack,3-6S,F722,30.5x30.5mm,117.99,17.0,https://www.racedayquads.com/products/skystarsrc-fly-stack-f7-hd-pro3-3-6s-30x30-stack-combo-f722-fc-km60-32bit-60a-4in1-esc,
SKYSTARSRC,Fly Stack F7 HD Pro4 3-6S 30x30 Stack/Combo (F722 FC / KM65 F4 128K 32Bit 65A 4in1 ESC) - MPU6000,skystarsrc-fly-stack-f7-hd-pro4-3-6s-30x30-stack-combo-f722-fc-km65-f4-128k-32bit-65a-4in1-esc-mpu6000,,65,BLHeli_32,,MPU6000,stack,3-6S,F722,30.5x30.5mm,137.99,19.0,https://www.racedayquads.com/products/skystarsrc-fly-stack-f7-hd-pro4-3-6s-30x30-stack-combo-f722-fc-km65-f4-128k-32bit-65a-4in1-esc-mpu6000,
SKYSTARSRC,Fly Stack H7 3-6S 30x30 Stack/Combo (H7 FC / KM60 32Bit 60A 4in1 ESC) - Dual Gyro,skystarsrc-fly-stack-h7-3-6s-30x30-stack-combo-h7-fc-km60-32bit-60a-4in1-esc-dual-gyro,5V 2A Continuous (Max 3A),60,,Betaflight - SKYSTARSH7HD,BMI270,stack,3-6S,H743,30.5x30.5mm,140.49,10.1,https://www.racedayquads.com/products/skystarsrc-fly-stack-h7-3-6s-30x30-stack-combo-h7-fc-km60-32bit-60a-4in1-esc-dual-gyro,
SKYSTARSRC,SkyStars Fly Stack - F722 HD Pro FC + KM40 Pro 40A BLHeli_32 ESC - Mini 20x20,skystarsrc-skystars-fly-stack-f722-hd-pro-fc-km40-pro-40a-blheli-32-esc-mini-20x20,none,40,BLHeli_32,,BMI270,stack,3-6S,F722,20x20mm,103.49,6.0,https://www.racedayquads.com/products/skystars-fly-stack-f722-hd-pro-fc-km40-pro-40a-blheli_32-esc-mini-20x20,
SKYSTARSRC,Skystars FlyStack - Mini F7HD Pro3 FC + KM55II AM32 55A ESC - 20x20,skystarsrc-skystars-flystack-mini-f7hd-pro3-fc-km55ii-am32-55a-esc-20x20,none,55,AM_32,,BMI270,stack,3-6S,F722,20x20mm,101.99,4.2,https://www.racedayquads.com/products/skystars-flystack-mini-f7hd-pro3-fc-km55ii-am32-55a-esc-20x20,
SKYSTARSRC,Skystars Jupiter AIO F4 3-6S Whoop/Toothpick (w/ 45A BLHeli_S 4in1 ESC) - MPU6000,skystarsrc-skystars-jupiter-aio-f4-3-6s-whoop-toothpick-w-45a-blheli-s-4in1-esc-mpu6000,5V/3A,45,BLHeli_S,SKYSTARSF405AIO,MPU6000,AIO,3-6S,F405,25.5x25.5mm,83.99,13.5,https://www.racedayquads.com/products/skystars-jupiter-aio-f4-3-6s-whoop-toothpick-flight-controller-w-45a-blheli_s-4in1-esc-mpu6000,
T-Motor,CINE F7 FC + V50A SE 3-6S 30x30 Stack/Combo (F722 FC / 32Bit 50A F4 4in1 ESC),t-motor-cine-f7-fc-v50a-se-3-6s-30x30-stack-combo-f722-fc-32bit-50a-f4-4in1-esc,,50,,TMTR-TMOTORVELOXF7V2 (BETAFLIGHT),ICM42688P,stack,3-6S,F722,30.5x30.5mm,137.99,9.2,https://www.racedayquads.com/products/t-motor-cine-f7-fc-v50a-se-3-6s-30x30-stack-combo-f722-fc-f4-32bit-50a-4in1-esc,
T-Motor,F411 1S Toothpick/Whoop AIO w/ 13A 4in1 ESC,t-motor-f411-1s-toothpick-whoop-aio-w-13a-4in1-esc,5V@1A,13,BLHeli_32,,BMI270,AIO,1S,F411,25.5x25.5mm,116.49,5.7,https://www.racedayquads.com/products/t-motor-f411-1s-toothpick-whoop-aio-w-13a-esc,
T-Motor,F411 1S Toothpick/Whoop AIO w/ BlueJay 6A ESC & ELRS RX,t-motor-f411-1s-toothpick-whoop-aio-w-bluejay-6a-esc-elrs-rx,5V@1A,6,,,BMI270,AIO,1S,F411,25.5x25.5mm,93.99,6.7,https://www.racedayquads.com/products/t-motor-f411-1s-toothpick-whoop-aio-w-bluejay-6a-esc-elrs-rx,
T-Motor,F7 3-6S AIO Whoop/Toothpick w/ 35A 8Bit 4in1 ESC,t-motor-f7-3-6s-aio-whoop-toothpick-w-35a-8bit-4in1-esc,5V/1.5A,35,BLS\Bluejay,,MPU6500,AIO,3-6S,F722,25.5x25.5mm,124.99,,https://www.racedayquads.com/products/t-motor-f7-3-6s-aio-whoop-toothpick-flight-controller-w-35a-8bit-4in1-esc,
T-Motor,F7 3-6S AIO Whoop/Toothpick w/ 45A 8Bit 4in1 ESC,t-motor-f7-3-6s-aio-whoop-toothpick-w-45a-8bit-4in1-esc,5V/1.5A,45,BLS\Bluejay,,MPU6500,AIO,3-6S,F722,25.5x25.5mm,148.99,,https://www.racedayquads.com/products/t-motor-f7-3-6s-aio-whoop-toothpick-flight-controller-w-45a-32bit-4in1-esc,
T-Motor,F7 & F55A Pro II 3-6S 30x30 Stack/Combo (F7 FC / 32Bit 55A 4in1 ESC),t-motor-f7-f55a-pro-ii-3-6s-30x30-stack-combo-f7-fc-32bit-55a-4in1-esc,,55,,TMOTORF7 (Betaflight),BMI270,stack,3-6S,F722,30.5x30.5mm,181.99,7.4,https://www.racedayquads.com/products/t-motor-f7-f55a-pro-ii-3-6s-30x30-stack-combo-f7-fc-32bit-55a-4in1-esc,
T-Motor,Pro II HD Stack - F7 FC + 55A 3-6S AM32 4-in-1 ESC - 30x30,t-motor-pro-ii-hd-stack-f7-fc-55a-3-6s-am32-4-in-1-esc-30x30,,55,BLHeli_32,TMOTORF7 (Betaflight),BMI270,stack,3-6S,F722,30.5x30.5mm,174.99,17.3,https://www.racedayquads.com/products/t-motor-pro-ii-hd-stack-f7-fc-55a-3-6s-am32-4-in-1-esc-30x30,
T-Motor,Velox F7 FC + V50A SE 3-6S 30x30 Stack/Combo (F722 FC / 32Bit 50A F4 4in1 ESC),t-motor-velox-f7-fc-v50a-se-3-6s-30x30-stack-combo-f722-fc-32bit-50a-f4-4in1-esc,5V2A & 12V1.5A,50,,,ICM42688P,stack,3-6S,F722,30.5x30.5mm,112.99,9.0,https://www.racedayquads.com/products/t-motor-velox-f7-fc-v50a-se-3-6s-30x30-stack-combo-f722-fc-32bit-50a-f4-4in1-esc,
