brand,model,slug,bec_output,esc_current_a,esc_firmware,fc_firmware,gyro,kind,max_cells,mcu,mount_mm,price_usd,weight_g,sources,note
BetaFPV,Matrix 4-in-1 AIO - G473 FC + 12A 1S ESC + ELRS RX + OSD - 25x25,betafpv-matrix-4-in-1-aio-g473-fc-12a-1s-esc-elrs-rx-osd-25x25,5V/3A,12,A_X_5_96_v0.19.2.hex for BB51 Bluejay firmware,Betaflight_4.5.2_BETAFPVG473_V2,ICM42688P,AIO,1S,G473,25.5x25.5mm,45.49,,https://www.racedayquads.com/products/betafpv-matrix-4-in-1-aio-g473-fc-12a-1s-esc-elrs-rx-osd-25x25,
BetaFPV,Matrix 5-in-1 AIO - G4 FC + 1S ESC + 400mW + ELRS RX + OSD,betafpv-matrix-5-in-1-aio-g4-fc-1s-esc-400mw-elrs-rx-osd,"5V, Max 3A",5,A_X_5_96KHz_V0.19.hex for BB51 Bluejay firmware,Betaflight_4.5.0_BETAFPVG473,ICM42688P,AIO,1S,G473,26x26mm,59.99,,https://www.racedayquads.com/products/betafpv-matrix-5-in-1-aio-g4-fc-1s-esc-400mw-vtx-elrs-rx-osd,
BetaFPV,Matrix HD AIO - G4 FC + 12A 1S 3-in-1 ESC + ELRS RX - 25x25,betafpv-matrix-hd-aio-g4-fc-12a-1s-3-in-1-esc-elrs-rx-25x25,5V/3A,12,A_X_5_96_v0.19.2.hex (BB51 Bluejay firmware),Betaflight 4.5.1 (BETAFPVG473),ICM42688P,AIO,1S,G473,25.5x25.5mm,47.99,,https://www.racedayquads.com/products/betafpv-matrix-hd-aio-g4-fc-12a-1s-3-in-1-esc-elrs-rx-25x25,
BetaFPV,Matrix V2 AIO - G4 FC + 12A 1S ESC + 400mW + ELRS 2.4GHz - Solderless,betafpv-matrix-v2-aio-g4-fc-12a-1s-esc-400mw-elrs-2-4ghz-solderless,"5V, Max 3A",12,A_X_5_96KHz_V0.19.hex for BB51 Bluejay firmware,Betaflight_4.5.3_BETAFPVG473_V2,ICM42688P,AIO,1S,G473,26x26mm,59.99,4.1,https://www.racedayquads.com/products/betafpv-matrix-v2-aio-g4-fc-12a-1s-esc-400mw-vtx-elrs-2-4ghz-solderless,
BetaFPV,Matrix V2 AIO - G4 FC + 12A 1S ESC + 400mW + ELRS - Solder Required,betafpv-matrix-v2-aio-g4-fc-12a-1s-esc-400mw-elrs-solder-required,"5V, Max 3A",12,A_X_5_96KHz_V0.19.hex for BB51 Bluejay firmware,Betaflight_4.5.3_BETAFPVG473_V2,ICM42688P,AIO,1S,G473,26x26mm,59.99,3.76,https://www.racedayquads.com/products/betafpv-matrix-v2-aio-g4-fc-12a-1s-esc-400mw-vtx-elrs-solder-required,
DarwinFPV,F405 2-6S 30x30 Stack/Combo (F405 FC/50A 8Bit 4in1 ESC),darwinfpv-f405-2-6s-30x30-stack-combo-f405-fc-50a-8bit-4in1-esc,5V/2A,50,,,MPU6000,stack,2-6S,F405,30x30mm,95.99,,https://www.racedayquads.com/products/darwin-fpv-f405-2-6s-30x30-stack-combo-f405-fc-50a-8bit-4in1-esc,
Diatone,Mamba MK4 F405 Mini F40 8Bit 6S 20x20 Stack/Combo (F405 Mini FC / 40A 8Bit F40_BLS Mini 4in1 ESC),diatone-mamba-mk4-f405-mini-f40-8bit-6s-20x20-stack-combo-f405-mini-fc-40a-8bit-f40-bls-mini-4in1-esc,,40,,,ICM42688P,stack,3-6S,F405,20x20mm,71.99,6.0,https://www.racedayquads.com/products/diatone-mamba-mk4-f405-mini-f40-8bit-6s-20x20-stack-combo-f405-mini-fc-40a-8bit-f40_bls-mini-4in1-esc,
Diatone,Mamba MK4 F722 APP F55_128k 3-6S 30x30 Stack/Combo (F722 FC / 55A 128k 32bit 4in1 ESC),diatone-mamba-mk4-f722-app-f55-128k-3-6s-30x30-stack-combo-f722-fc-55a-128k-32bit-4in1-esc,,55,,,ICM42688P,stack,3-6S,F722,30x30mm,136.99,,https://www.racedayquads.com/products/diatone-mamba-mk4-f722-app-f55_128k-3-6s-30x30-stack-combo-f722-fc-55a-128k-32bit-4in1-esc,
Diatone,Mamba MK4 F740 3-6S AIO Whoop/Toothpick w/ 40A 32Bit 4in1 ESC - WIFI,diatone-mamba-mk4-f740-3-6s-aio-whoop-toothpick-w-40a-32bit-4in1-esc-wifi,3.3V 0.5A & 5V 2A,40,,,ICM42688P,AIO,3-6S,F722,25.5x25.5mm,115.99,,https://www.racedayquads.com/products/diatone-mamba-mk4-f740-3-6s-aio-whoop-toothpick-flight-controller-w-40a-32bit-4in1-esc-wifi,
Diatone,Mamba MK5 G4 4-6S AIO Whoop/Toothpick w/ 40A 32Bit 4in1 ESC - DSHOT2400,diatone-mamba-mk5-g4-4-6s-aio-whoop-toothpick-w-40a-32bit-4in1-esc-dshot2400,10V 2A& 5V 2A,40,,,IIM42652,AIO,4-6S,G473,25.5x25.5mm,95.99,,https://www.racedayquads.com/products/diatone-mamba-mk5-g4-4-6s-aio-whoop-toothpick-flight-controller-w-40a-32bit-4in1-esc-dshot2400,
